otu_id	S198	S206	S214	S222	S230	S238	S246	S254	S193	S199	S207	S215	S223	S262	S277	S285	S231	S239	S247	S255	S263	S270	S278	S286	S200	S208	S216	S224	S232	S240	S248	S256	S201	S209	S217	S225	S264	S271	S279	S287	S233	S241	S249	S257	S265	S272	S280	S288	S202	S210	S218	S226	S234	S242	S250	S258	S203	S211	S219	S227	S266	S273	S281	S289	S235	S243	S251	S259	S267	S274	S282	S290
OTU_1	297	1188	0	1263	0	0	0	0	282	0	0	0	0	2100	322	0	688	1368	0	755	0	0	0	0	2419	1217	3159	562	0	0	0	0	0	0	0	0	3018	0	1571	1424	234	463	571	1214	0	0	0	0	0	307	2024	1384	0	0	0	0	0	0	0	0	1157	787	523	1500	501	1043	1523	0	0	0	0	0
OTU_2	522	735	867	348	0	1080	411	666	296	897	641	260	243	346	0	1008	426	230	1157	591	265	611	0	0	263	263	232	285	395	754	761	648	638	1278	912	748	0	366	0	580	0	0	0	0	0	442	0	158	398	510	0	1141	395	234	407	206	0	665	684	1185	0	282	421	0	556	257	258	711	169	290	538	403
OTU_3	205	338	0	462	0	0	147	168	841	0	146	0	193	243	241	0	0	245	0	0	353	731	354	338	245	285	0	373	0	0	0	0	0	0	0	480	166	255	312	269	524	330	174	309	183	292	607	560	0	268	0	173	0	323	0	179	385	0	0	425	301	0	201	156	359	318	0	0	0	165	0	0
OTU_4	0	0	0	0	0	0	173	0	0	0	0	0	130	0	220	0	0	0	0	0	0	0	0	0	142	0	0	203	0	0	0	0	0	0	0	0	230	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	174	0	0	0	0	136	357	0	0	0	227	0	0
OTU_5	270	175	1280	321	0	801	113	432	236	324	441	113	113	142	0	1249	373	282	328	441	139	173	140	124	109	300	162	169	487	331	305	362	1076	487	398	542	126	196	0	307	158	0	0	0	0	528	189	206	316	117	0	118	306	148	283	238	185	474	486	316	0	211	242	0	156	0	146	429	126	164	370	164
OTU_6	0	0	0	0	0	306	129	271	160	0	463	0	254	151	0	0	0	168	0	0	0	245	119	164	158	162	0	0	0	458	145	353	0	255	376	195	146	201	0	189	301	244	251	251	294	0	222	244	128	147	145	166	130	183	233	351	152	321	0	205	148	195	0	142	261	261	0	0	229	145	206	203
OTU_7	110	429	379	260	0	468	423	437	288	628	916	118	197	226	116	641	175	104	270	159	0	0	0	0	134	153	181	163	555	1250	431	471	685	1066	537	417	0	156	140	259	0	0	0	0	110	129	183	112	341	0	0	0	359	160	126	100	158	0	179	583	0	0	0	128	268	438	190	332	258	443	331	300
OTU_8	0	211	118	444	0	685	111	407	107	0	157	273	188	344	0	0	0	290	0	134	126	294	146	0	155	185	178	211	335	805	157	936	0	405	1007	462	205	293	0	209	209	106	0	121	105	0	157	113	129	189	117	156	257	102	553	276	181	745	0	342	175	142	171	143	166	496	149	119	197	259	183	120
OTU_9	0	285	1058	0	0	320	111	173	0	0	126	122	0	103	0	181	113	116	1498	117	0	121	0	0	0	104	238	94	142	393	221	126	1755	320	259	139	0	156	0	88	0	0	0	0	0	82	149	0	165	117	0	191	130	0	106	0	0	144	231	377	94	0	76	0	101	80	294	0	153	88	2195	567
OTU_10	0	81	0	0	0	77	77	0	110	0	0	0	0	75	0	0	0	78	0	0	0	93	0	128	0	76	0	0	0	0	0	80	0	0	0	0	130	0	0	0	220	139	185	0	0	0	0	0	0	133	98	114	167	0	0	87	0	115	0	0	83	72	0	88	95	114	0	0	0	99	0	0
