Rank	Dataset	original cut-off	original confidence	original min alignment length	Dataset with max. confidence	cut-off	confidence	min alignment length	sequence number	group number	fasta filename	classification filename
species	Cytospora	0.993	0.8044	50	All	0.988	0.8276	50	242	65	unite2024ITS2.unique.species.fasta	unite2024ITS2.unique.species.classification
species	Fusarium	0.7	0.9131	50	Fusarium	0.7	0.9131	50	1466	22	unite2024ITS2.unique.species.fasta	unite2024ITS2.unique.species.classification
species	Tyromyces	0.97	0.867	50	Tyromyces	0.97	0.867	50	52	12	unite2024ITS2.unique.species.fasta	unite2024ITS2.unique.species.classification
species	Inocybe	0.982	0.7892	50	All	0.988	0.8276	50	1639	470	unite2024ITS2.unique.species.fasta	unite2024ITS2.unique.species.classification
species	Aspergillus	0.988	0.8982	50	Aspergillus	0.988	0.8982	50	1168	102	unite2024ITS2.unique.species.fasta	unite2024ITS2.unique.species.classification
species	Colletotrichum	0.98	0.8553	50	Glomerellales	0.98	0.8677	50	1052	47	unite2024ITS2.unique.species.fasta	unite2024ITS2.unique.species.classification
species	Tuber	0.968	0.8252	50	All	0.988	0.8276	50	976	117	unite2024ITS2.unique.species.fasta	unite2024ITS2.unique.species.classification
species	Thelephora	0.983	0.8044	50	All	0.988	0.8276	50	246	23	unite2024ITS2.unique.species.fasta	unite2024ITS2.unique.species.classification
species	Acremonium	0.988	0.864	50	Bionectriaceae	0.988	0.8686	50	246	46	unite2024ITS2.unique.species.fasta	unite2024ITS2.unique.species.classification
species	Vararia	0.937	0.9662	50	Vararia	0.937	0.9662	50	83	39	unite2024ITS2.unique.species.fasta	unite2024ITS2.unique.species.classification
species	Pyrenophora	0.983	0.906	50	Pyrenophora	0.983	0.906	50	118	10	unite2024ITS2.unique.species.fasta	unite2024ITS2.unique.species.classification
species	Coniochaeta	0.992	0.841	50	Coniochaetales	0.992	0.863	50	81	33	unite2024ITS2.unique.species.fasta	unite2024ITS2.unique.species.classification
species	Erysiphe	0.994	0.8841	50	Erysiphe	0.994	0.8841	50	415	125	unite2024ITS2.unique.species.fasta	unite2024ITS2.unique.species.classification
species	Diaporthe	0.982	0.8123	50	All	0.988	0.8276	50	386	105	unite2024ITS2.unique.species.fasta	unite2024ITS2.unique.species.classification
species	Russula	0.985	0.7679	50	All	0.988	0.8276	50	1818	395	unite2024ITS2.unique.species.fasta	unite2024ITS2.unique.species.classification
species	Talaromyces	0.985	0.9163	50	Talaromyces	0.985	0.9163	50	312	60	unite2024ITS2.unique.species.fasta	unite2024ITS2.unique.species.classification
species	Hebeloma	0.987	0.7432	50	All	0.988	0.8276	50	542	96	unite2024ITS2.unique.species.fasta	unite2024ITS2.unique.species.classification
species	Tomentella	0.963	0.6701	50	All	0.988	0.8276	50	333	82	unite2024ITS2.unique.species.fasta	unite2024ITS2.unique.species.classification
species	Plenodomus	0.99	0.8513	50	Leptosphaeriaceae	0.987	0.8783	50	78	22	unite2024ITS2.unique.species.fasta	unite2024ITS2.unique.species.classification
species	Penicillium	0.987	0.8651	50	Aspergillaceae	0.988	0.8899	50	543	88	unite2024ITS2.unique.species.fasta	unite2024ITS2.unique.species.classification
species	Pichia	0.858	0.9706	50	Pichia	0.858	0.9706	50	377	19	unite2024ITS2.unique.species.fasta	unite2024ITS2.unique.species.classification
species	Steccherinum	0.977	0.8546	50	Steccherinum	0.977	0.8546	50	116	25	unite2024ITS2.unique.species.fasta	unite2024ITS2.unique.species.classification
species	Lophodermium	0.953	0.7804	50	All	0.988	0.8276	50	167	31	unite2024ITS2.unique.species.fasta	unite2024ITS2.unique.species.classification
species	Pleurotus	0.978	0.8938	50	Pleurotus	0.978	0.8938	50	344	13	unite2024ITS2.unique.species.fasta	unite2024ITS2.unique.species.classification
species	Claviceps	0.99	0.8482	50	Clavicipitaceae	0.988	0.863	50	113	42	unite2024ITS2.unique.species.fasta	unite2024ITS2.unique.species.classification
species	Alternaria	0.979	0.8978	50	Pleosporaceae	0.983	0.8984	50	903	49	unite2024ITS2.unique.species.fasta	unite2024ITS2.unique.species.classification
species	Cortinarius	0.988	0.8428	50	Cortinarius	0.988	0.8428	50	2873	781	unite2024ITS2.unique.species.fasta	unite2024ITS2.unique.species.classification
species	Crepidotus	0.961	0.8063	50	Crepidotaceae	0.963	0.8338	50	149	49	unite2024ITS2.unique.species.fasta	unite2024ITS2.unique.species.classification
species	Cadophora	0.992	0.8811	50	Cadophora	0.992	0.8811	50	136	17	unite2024ITS2.unique.species.fasta	unite2024ITS2.unique.species.classification
species	Entoloma	0.987	0.8573	50	Entoloma	0.987	0.8573	50	1011	366	unite2024ITS2.unique.species.fasta	unite2024ITS2.unique.species.classification
species	Psathyrella	0.994	0.7678	50	All	0.988	0.8276	50	487	163	unite2024ITS2.unique.species.fasta	unite2024ITS2.unique.species.classification
species	Curvularia	0.974	0.8214	50	Pleosporaceae	0.983	0.8984	50	288	18	unite2024ITS2.unique.species.fasta	unite2024ITS2.unique.species.classification
species	Metarhizium	0.983	0.913	50	Metarhizium	0.983	0.913	50	426	18	unite2024ITS2.unique.species.fasta	unite2024ITS2.unique.species.classification
