	S1	S10	S100	S101	S102	S106	S107	S108	S109	S11	S110	S112	S113	S114	S115	S116	S117	S121	S122	S123	S124	S126	S127	S129	S130	S131	S132	S134	S136	S138	S140	S141	S142	S144	S145	S147	S148	S149	S150	S151	S152	S153	S154	S155	S156	S157	S158	S160	S161	S162	S164	S165	S166	S167	S168	S169	S17	S170	S171	S172	S173	S175	S177	S179	S181	S182	S185	S186	S187	S188	S189	S190	S192	S2	S20	S25	S34	S36	S41	S42	S43	S44	S50	S52	S57	S59	S60	S65	S66	S67	S68	S73	S81	S82	S84	S89	S9	S91	S92	S103	S104	S105	S111	S118	S119	S12	S120	S125	S128	S133	S137	S139	S143	S146	S159	S163	S174	S176	S18	S180	S183	S184	S191	S26	S27	S28	S3	S33	S35	S4	S49	S51	S58	S74	S75	S76	S83	S90	S97	S99	S178	S98	S19	S135
S1	0.0	1.8500581119220307	2.7821288505823567	1.443847176243028	0.43236054647763034	1.9632483124805522	1.4683626282767746	1.7698046665663207	1.5951630851405034	0.9521259485270861	0.9276938325392404	2.4061590103009367	0.4740777276212501	1.716953070161897	1.2633987600516052	1.1329438582036626	1.3999862702497516	1.276418270416394	1.4428113472341941	1.0654828823698455	2.206064725327741	1.3612816886956143	0.8425314416179266	1.3162068402241043	0.7104183669170975	1.087400634771208	1.2390502710389508	1.2195523974396723	1.7047665262042386	0.8945951716880872	1.8337242776220555	1.6391165839774815	1.4979339309512432	1.0854388901413639	1.4278732976214132	1.1235067280301756	1.0412502606147762	1.3635524228757152	1.3413515890131655	3.003107451868667	1.7550782279701564	0.8940125001920138	0.9159661143215385	1.9822690151565177	0.4434488880257927	1.7807643893449485	1.441478524361432	1.5207236011428658	1.0677644316566302	1.0462927610046424	0.42659848925550187	0.7700601591624168	1.4533049241773814	1.4818730866768963	2.0095904759175838	1.1002679218043823	1.7391122143110271	1.2264467315634584	0.5078422607098521	0.9341413722018682	0.769834569471583	2.1599140008377833	1.3277845756914293	0.6980503874697257	0.9063642158497829	1.074255927730172	1.3120447359981973	0.9891954398437575	1.2492179317409338	1.1908274330960094	1.4736840992627216	1.9360423782784577	1.81647509648354	2.331716719761899	1.4788790938270542	1.0658579619749966	1.1235656608734386	1.383962477049659	2.6008199023264313	0.8603529988330485	1.7151585262543276	1.1682512564711478	0.5213690085921584	1.253086721291183	2.678193934777429	2.9100750899917514	2.094078259670055	1.2675258086956374	2.039080042976848	3.1125011446786788	2.1490136109285993	2.441230151643633	0.8703223077497764	2.5654371059622507	2.787913557742169	2.4314058352260015	0.9581873035364886	2.4619363956426024	2.6986118467751505	0.9319097228609834	2.2626974197172323	0.7174421444783612	1.046837559281754	1.0903433341933295	1.9861279748481506	2.2129841654786477	2.6133868837156786	1.7292299176222086	3.138973918968775	2.355153382575589	1.2605380994478428	2.4258050902700323	2.205960867309845	1.1405309592462718	2.443617553721382	1.2346321667662101	2.1834941567076607	2.055700110751963	3.0060287061599684	1.644633366854566	1.2117207056991668	1.5181202593847103	2.2758468335860114	2.7898477516035967	1.240860573863302	2.425699582817702	1.4720083112989584	2.736416664528985	2.43428208533725	1.442636065663677	2.329778585941775	2.2432478471030777	1.4714270567879861	2.2894593113251656	1.9358393944234427	2.2110052694470372	0.8367570822694073	1.4883201745417944	1.3115507977011303	1.6980167176318222	0.3834711173196449	1.6825467025434349	1.6054980966551506	1.5644553000747414
S10	1.8500581119220307	0.0	1.987632488757927	2.99904723782259	1.8390588277745912	2.1648335645330112	2.9431816108808904	1.275678271013581	3.2314099044862825	2.1519685177069823	2.288755734090694	1.541171697767124	2.3039649366166017	1.7385884033215044	2.7383466444631033	1.2167073824590804	2.471533169118561	3.061556439016643	2.0016485047890304	1.7048731759522775	1.9546586829923558	1.248470322507883	1.3620187678274378	2.4014150602829982	1.9332497696430524	2.382190279039586	1.6577316726366949	1.6917723484094724	2.3547593048162003	2.609395758616859	2.1458370037662995	2.436908746985623	1.7911311879471177	1.5992505088332893	1.8163421934685904	2.358757498950508	1.4140746616409252	2.2199451858001558	2.1954445333285815	1.3777143396670548	2.8365521187199003	2.303218119603584	2.279110977727676	1.7793455278237849	1.585143400146388	2.3306754694572853	2.169343648964791	2.2218630109544297	1.6912798634718078	1.948045398216026	1.9902299916440005	1.3369041345689545	1.8385256631343592	2.032945789564608	1.8593385189345346	2.581916547598137	2.5703346687567277	1.637600362302625	2.1821005177203854	1.8081965451535067	2.3639016265690973	2.7819129423374998	2.3127504920035014	2.0574515274338667	2.672333763047705	1.9610557045775627	2.8316360848672306	1.7473535311732735	2.498136526162469	2.504726750314363	3.1962207294990987	2.367719949299885	0.755390885841079	0.595593998583559	1.967104526860634	2.3219981475785247	2.109897752984321	1.733333581977049	0.7815852984877482	2.352360810540832	0.7374953021170045	0.9935966874705732	2.059916829714639	2.0261168039524677	0.9873262184873737	1.2592842849458865	2.275840261100479	2.649751354728479	0.6917359382261308	3.0106122080714486	1.0326855207392585	3.5363957523449043	2.417453075054054	0.7209026973793127	1.0779289034315565	3.1938676094144314	1.865996399649947	3.464673135381212	1.1556401810444203	0.9221164110998357	2.6591842861080996	2.4025272788905485	2.1183800021307175	2.0540529084912853	1.9523434829927755	0.8659700568176742	0.8516156119867305	2.845405300912201	1.3214463629277098	1.5274239978157527	2.0926294020524927	1.9896079768887405	0.8223639970925	2.9235915481095898	0.6698272299666336	1.8176205561030934	1.8995084044791688	0.781378579100109	1.2056735773201401	1.4339396925258816	2.3114972434964027	0.9238570340885371	2.9506471747880707	1.0907918387817632	1.910932616612193	1.4045324201377005	1.6247520685329364	1.1405638099996696	1.2677888184387494	0.4883288924892699	0.5522983721071802	1.078621067157945	2.311767495563956	1.3057309958290684	3.205862397951823	0.8237716949529643	1.8340328846508518	1.6601821913824908	3.075444914369731	2.483350009943906	1.7099772886953855	2.229353496735172	2.4668493261907707	1.9123894983293166
S100	2.7821288505823567	1.987632488757927	0.0	3.266238109780444	2.447670329030779	1.5757965737913722	2.8909899986587178	1.0310219685663262	3.4787293065766836	3.5216337206967823	2.728921654158803	3.4441764138260393	3.075017620149434	1.4099414336377087	2.784765198835922	1.8223392555767064	2.2672754179572103	3.534693291512287	1.699177561125095	1.9687276701517806	0.7589215204296814	1.8101749003648697	2.884930375424407	2.2211248225353013	2.2945386189006785	2.5006592263828384	1.7390695728089476	1.6836718053853217	3.959945282399519	3.016149504708969	1.4972668715110744	2.0735982873061225	1.5970083431332425	3.085284369657333	1.786821872535518	2.363191207510354	1.991239221124387	1.96413975933849	1.9683639314843144	2.653012000988723	4.30699835581379	2.5452376112261637	2.463229488791667	1.1241835159015652	2.472206272224608	1.722922581111416	1.8678586044368959	3.864669961657314	1.8670987248381299	2.1374329210623744	2.6650008704295503	2.1952836043669532	1.5354459482330587	3.719545241065186	3.757004294065178	2.80229337935089	4.14569422110022	1.6855113036505691	2.759198089000018	2.0645264413404267	2.772402329479367	4.2927975386844555	2.2802777664333758	2.464925523359087	3.1333147247934217	2.395217376989977	3.0930440945742834	2.018518193836531	2.4883385417553736	2.9977918155341734	3.6183926089572696	1.6054132634846976	1.9020887374237367	1.9278752333955613	3.448661935391103	3.543312088589374	3.6341174757948336	3.453993461646783	1.8593230879382174	3.4437014922842204	2.1948020136140745	2.5216625196602	3.2020528922505567	3.403236453861808	2.2487571998408145	1.98954316216924	3.9102622249404315	3.9447154065238603	2.492006165085284	4.833564996284481	1.5412589982221128	5.008837633696979	3.4825586176982233	2.1740161011174575	2.1742632150859085	4.860218276303207	2.7777652982439345	4.948867128990063	1.2518020089115403	2.2824474597187487	4.35610548112323	2.9522469852291	3.3981539838063766	2.079126664359228	3.793715342228911	2.4057571729949103	1.87896920525076	2.4796782464420883	1.9915109196882312	0.7772435221981585	2.0578092208129872	0.5479462918286323	2.7829545005806366	3.3851058633117046	2.379816622930538	1.7402891127303795	0.9011094434101359	2.7304927109852493	1.8774176479673597	1.1499566356384503	2.332280878925283	2.739961742069388	4.486285967136622	1.7287251725419777	3.2762592025488795	3.182222996910689	3.209993604647658	2.6578770859206897	3.03419115292579	2.0291621612107194	2.3175154245221194	2.3961501844582442	3.785227077910831	2.8031882572208016	4.615234186906941	2.1140436581420854	3.202472211311268	3.4207776142934434	3.4667606353075633	1.948468529844031	2.4386908717180935	1.9722026164413253	3.6677542450952703	2.589323213281632
S101	1.443847176243028	2.99904723782259	3.266238109780444	0.0	1.3486824436577505	1.871074236242851	0.8972205608508635	2.4373728722637815	0.2818033575791355	1.8515759517215202	0.7155995767439395	3.500787658928189	1.0684337178578875	1.9468032964319382	0.7865094132825637	2.2138204460742705	1.086620492576527	0.6229385024249328	1.5771540494863607	1.4286899161162772	2.5943057734990567	1.9548585789197483	2.2064100640731317	1.2957272853210895	1.2277808420414178	0.8037793991185553	1.6094917023198103	1.6582153465233267	2.474708584342169	0.7712805675030067	1.8218781649503832	1.2731601733356037	1.7062531256081828	2.0622868635157436	1.5752520308525741	1.0874691890868535	1.649618185238191	1.3973778686847378	1.3623877248882754	3.9381854359286694	2.312667473783955	1.2647007592951143	1.1145430181693055	2.232727661628977	1.4629049623005526	1.6360434013425709	1.4228016517530053	2.4782045526094776	1.5029156640247714	1.1895610794955778	1.4598886048945798	2.005929716829929	1.7551900146368522	2.525377118296237	3.1451697742547693	0.527817435050422	2.460267716506613	1.6593544952114334	0.9904976970580818	1.6954013197630873	0.7703983898153538	2.614822030348459	0.9976726257870088	1.0132932073666674	0.941298361266158	1.1460280854261484	0.1815675008911999	1.3695506607590644	0.8210949613810113	1.9750250358957555	0.4547161593755757	1.7993247542057493	3.0543303599931284	3.3254160686341474	2.195947679319524	1.59071728597903	2.2333207542450357	2.524521993041338	3.6378953526323294	1.3483528223395336	2.6379372070078446	2.253264922705348	1.490488155717683	1.9286368399511218	3.6331049762560887	3.7456091738043975	2.7946689819283344	1.826871907502701	3.105375116792268	3.900373474855201	2.828020928087134	2.7623483202888908	1.3088817073831578	3.686201894038315	3.7174667772374557	3.0767524539281577	1.3726796185582613	2.777374135410511	3.5302668110614386	2.180050512494348	2.977145378999405	0.731266404401933	1.6962069833433486	1.246348378563195	3.022666330336902	3.1502386075513615	3.577027008133154	1.0747506877393633	4.143224793095089	3.1367323997279173	1.2137330002129856	2.7538139849700336	3.4551881811787206	0.652638766218076	3.6385629298253797	1.7775276794406583	2.429896682127006	3.2390640418148138	3.9905506936897504	2.304626620308332	0.9349832384243331	2.679630187273505	2.7245015672780983	3.6748359961301054	1.9318430882453352	3.4234558760516616	2.3608272022959844	3.741632617815773	3.4511703331600634	2.5306429289791748	3.497442489855244	3.0507502036099745	2.1439026836598067	3.1152184464653447	2.375791107854768	3.0820545792149945	1.8234799824097485	2.6126758690082577	0.5870882737127796	1.5054594590311179	1.3780062793114358	1.440029080684984	1.8363566656377817	1.7017004323452947
S102	0.43236054647763034	1.8390588277745912	2.447670329030779	1.3486824436577505	0.0	1.6201215978493462	1.1914063258931527	1.4714788074840597	1.5141938575321041	1.3646549147204288	0.8055491886916825	2.6406331728082124	0.6464352111332615	1.39369598054882	0.9856400524892592	0.9199050162716903	1.020894741620424	1.292462038546937	1.0398229022749959	0.7686087336749573	1.8234989245530993	1.1973796492028297	1.1433629948346204	0.9071646469655377	0.3038427988687495	0.7802913652268221	0.9090867797513396	0.8395334264937686	2.0902014856548936	0.782508153316555	1.4458045426642583	1.2729735872443628	1.1549880202620555	1.3858058416394636	1.1233699945984446	0.7403683746773712	0.8589881313263166	0.941323082494399	0.9246626371961317	3.032659700951054	2.1606329035385112	0.5662954512074648	0.5508254373035826	1.648188365279813	0.4677107424589659	1.376845540756105	1.0359302574670506	1.9303388709922742	0.715146452739022	0.7273373130970298	0.330845031203505	0.660533134728823	1.054926314110845	1.8782757667505379	2.349800165935173	0.8898753086857177	2.144485893413731	0.8734920083024974	0.4007054807057016	0.5521932621323552	0.5911632775688815	2.5072449160473664	1.0131115178957266	0.4036075267067637	0.8456313297060246	0.9194487557353129	1.1882729532751521	0.6692085688781501	0.925616507689264	1.1134260662946918	1.476834674321232	1.530761676335534	1.7452074911325324	2.291673147114199	1.7844027047557627	1.411060231293077	1.5497190899868574	1.748896707837415	2.535958623481335	1.1910706473566686	1.7395818115798538	1.310928825500259	0.9210126444713754	1.5694805530593072	2.6704743910194213	2.8373807824742725	2.413445945886023	1.6642105498100643	2.1261243437912496	3.46446901139221	2.0112189636062143	2.8362301569104713	1.1966457403179125	2.557389249023063	2.7588747208240427	2.8489204901970338	1.0554339682524565	2.8497572296083646	2.5294606686391408	0.9953480492321874	2.638576828841274	0.6808129762336363	1.38233493299186	0.6874089574624425	2.3307960759890385	2.2613809173984394	2.5500101259523804	1.37414793322075	3.0564259760626524	2.0646074909023238	0.9106579753366371	2.061321055482881	2.3411159612667154	1.131769317273245	2.480585679349401	0.8230092062901104	1.8297865652470497	2.1948310463341314	2.9166613024730177	1.3079726157617366	0.8853095611968397	1.7050276318158375	2.6393845258151116	2.6894069295171077	1.5296424964104438	2.6041909032519994	1.7471353962307727	2.7950178960114593	2.5867658954737975	1.4390694930163141	2.36481979124011	2.2734952372258865	1.842290779855911	2.393815696814532	2.3394733042267988	2.198940905004496	1.2032988378205536	1.8316687956237532	1.28009848107889	1.280126967187173	0.2180985220227534	1.3692674577865216	1.8686288130704174	1.543488562054759
S106	1.9632483124805522	2.1648335645330112	1.5757965737913722	1.871074236242851	1.6201215978493462	0.0	1.773561037549999	1.1164817916571708	2.1062980470457933	2.640676459861843	1.4424232579114198	3.2217084230539856	2.0625560031754167	0.4311193562142136	1.6373196102765661	1.6777083909633839	1.0760311548776738	2.3045517814045016	0.6927765695501813	0.9060298926730294	1.1141794124615634	1.0654736750327012	2.376168409747335	1.2876134662463357	1.3579756140307406	1.268289265379825	0.7630205244770984	0.8777410201525684	3.1225292819459995	1.9159487212050774	0.37180396517622016	0.6983894678572322	0.5056433748691794	2.319956478806475	0.5591188339466376	1.3284891519133655	1.0979600303290844	0.9864479566782276	0.9403634368252662	2.9067899574379634	3.3405994210059533	1.7071755308031342	1.5061001592292953	0.521007536969533	1.6124370570549393	0.5815090415384343	0.7595157428231697	3.120129810711696	0.9271078751066618	0.9525081075553453	1.9259535868326936	1.8248863689654136	0.7491805835192946	3.0414160956674454	3.3197036330101115	1.5298084400068785	3.27161195408553	0.8222115581747208	1.7339788078389102	1.5154612789686173	1.6406965409104433	3.320042085777176	0.9044078045869965	1.3888451017581205	2.1035142945718235	1.1248559445913702	1.7192099929627338	0.9743757835455523	1.2306552453137194	2.5093379287778226	2.2908818612199173	0.5427475694246083	2.299451953117846	2.2388213104123484	2.5785778189718984	2.493913370480603	2.9241287682148056	2.858434597677301	2.4618761489771663	2.3688622393942005	1.8995988944531155	1.9976423274295254	2.2800182104876647	2.4590182566964396	2.5466908195136537	2.437232160255091	3.1277333949128123	2.945703144586866	2.4209101059767364	4.223544794395659	1.5176501113830072	3.9636648598691337	2.396731701067614	2.6670304444392388	2.5526045203756182	3.999982263302093	1.6657741285780692	3.9000127366631947	2.0672953858969474	1.888680420890831	3.5583872250363817	1.7974911228245565	2.4023825451095937	1.0288041588365164	3.254457226411936	2.322719991515666	2.3696883520421546	1.2267805285904982	2.8329693949280004	1.7912836077683931	0.7908803409943888	1.0568866568059672	2.893317683092493	2.199211600014672	2.774166001487007	1.2090634331000116	0.6769412732627581	2.7005121422644125	2.6764937787572913	1.1403057795723814	1.0355862760385999	2.3985749847627247	3.511729967052516	2.332330975416242	2.3480760144027704	2.964323416867202	2.4921365043117283	2.836493489280296	2.895632643550495	1.844885205878854	2.6370862857942345	2.187062182515004	2.857292324008404	2.4827669686030696	3.6135500040498676	2.08661448152127	2.355518171347238	2.8548059234042262	2.2392117464514554	0.9370845243352113	1.5855774814394386	0.44720044199471076	2.537372201599475	1.4247536499135274
S107	1.4683626282767746	2.9431816108808904	2.8909899986587178	0.8972205608508635	1.1914063258931527	1.773561037549999	0.0	2.165537841696904	0.8913484671118626	2.224013291664665	1.0725239127273227	3.7778904818731958	1.2046260677355958	1.8315416541233027	0.23836874878970632	1.8892547537920397	0.702441371146975	0.9521189348971214	1.2664728501148155	1.401861430861786	2.1452300412575096	2.025821342303898	2.298331593421516	0.6842010284029431	1.0191855786058062	0.6893634430637742	1.4916287419558263	1.3989190817164576	2.971517891602091	0.6739370270797956	1.5558985405555725	1.091211650678202	1.5705906936435357	2.411806909084364	1.5573912655695008	0.6062818104393971	1.7100399586432717	0.9422983863109428	0.9568686043816105	4.075758150426026	2.8494227001295394	0.7528975160319272	0.676519292582854	2.054890586984541	1.5495998398486859	1.2996868724876705	1.0933839109211383	2.868648400844399	1.3486190754693095	1.1639210785601375	1.2255204488284435	1.7638948639871703	1.424628739242819	2.8765022637590687	3.4515740469119836	0.6295485568450808	2.9627705796774273	1.4706677091699525	0.9866906181014783	1.2509966808787492	0.769957187056538	3.2568312110457396	1.0020461350139651	0.965736629129302	0.7694639846411205	1.4271657066106882	0.8210577091966765	1.3067289630292578	0.6155619222777068	1.4460884136037753	1.0512905109761328	1.4542870720264622	2.788769643050733	3.324926978353511	2.693429582428031	2.1174320082000926	2.4936936446357914	2.818307592058792	3.5547425773092267	1.8296129626878492	2.786148324610815	2.4322999793330418	1.7727979597989985	2.43122897309601	3.7040878883520434	3.779654557753589	3.332221891920365	2.2974890717824894	3.24218935403777	4.429350930427007	2.8594804584751796	3.382811276106645	1.789708860796252	3.6394631389366694	3.768849102861085	3.610608156749637	1.8096358500485716	3.427335352942826	3.382452216425427	2.1698348689813383	3.5212549040800085	0.9414836968840721	2.189593310450245	0.9649202586592477	3.393234972573125	3.3177431320978914	3.5502185540271194	0.6672382799845388	4.036332928756308	2.707030423540358	1.1142258811299162	2.396372667365451	3.516758790956531	0.8426527858537092	3.6065196879204318	1.3113692908454797	2.1747874450473565	3.3569536534679756	3.8886196969945903	1.9438915948621536	0.8626991317623881	2.8579242655732853	3.36923230596876	3.6286736313966546	2.4167832312305966	3.7085272190335314	2.7618418113866228	3.8780846309543464	3.697111261201996	2.5442186799366238	3.4869630866801913	3.268319279775062	2.6680347464662817	3.415568855683869	2.893853214987208	3.2048719348151717	2.1687414127490094	2.9161828491331505	0.8162936659816096	1.002320478195908	1.344122087498597	1.4699126027373703	2.509337821384099	2.1568062612776053
S108	1.7698046665663207	1.275678271013581	1.0310219685663262	2.4373728722637815	1.4714788074840597	1.1164817916571708	2.165537841696904	0.0	2.6619325124627533	2.491994958816228	1.8182512553090389	2.672564063109373	2.0927083751188253	0.7336422278420536	2.0072050404463764	0.9001447076586717	1.5624006235143482	2.64167051159714	0.9742745808024614	1.0440596355348595	0.7100208766445824	0.8926093653667231	1.8822892594595262	1.5070089129909865	1.3618769199592067	1.6715861114342014	0.8420711229473253	0.7950129805870423	2.9632030858366485	2.122676536718115	0.998865239731277	1.452336714898202	0.8260186193619091	2.0871598580338286	0.9896205717855158	1.5708433865085671	1.012935797087437	1.2524406388282017	1.2404136908704246	2.288843369531797	3.284204693521832	1.6951523564907376	1.6123697238242516	0.6648847664901522	1.450035813041451	1.208367876243226	1.169362043543064	2.856053784498937	0.9418829778648621	1.2538450240288304	1.7071705690088386	1.2232538310527477	0.7752053713378987	2.7207210186808175	2.840942898597373	1.9575691803591773	3.134059257140109	0.7780264061151135	1.8030341016100322	1.1846829002309092	1.8614416252202366	3.326990006381393	1.5108419997734173	1.5319593283985693	2.235168618579866	1.4925778186112275	2.256790856382556	1.0885423391442295	1.7122076859004711	2.1811540404885714	2.745963930860171	1.1942465070511934	1.2486805636937335	1.4481106617181527	2.4768551242179626	2.5280322753027695	2.612807079681099	2.468405126759509	1.5582470629427456	2.428856367157123	1.3914630285387142	1.5581346231299076	2.1751574457014624	2.4081953404078273	1.8562077884185686	1.8023247780239102	2.9840174446058234	2.916831888389601	1.7746221857001443	3.9585972679744947	1.0317682892635294	3.990487145359457	2.469548385206855	1.764776562716182	1.8594013541515997	3.8534999146223474	1.8074649706128851	3.9403175210846473	1.2385872590697438	1.2857315354965184	3.393096795450441	2.0122678192803853	2.385861319395065	1.242398993579746	2.864200473570332	1.7656670198483573	1.5685093465463302	1.8810360478065802	1.951529736421605	0.8052832348664775	1.2589082321703213	0.7931924246744836	2.0897657868328627	2.49028832905782	1.8663386136138433	0.9301477809276788	0.7083466083878435	1.9880120681214655	1.8045956600623396	0.3028097374191163	1.5339021575533807	1.8418528593360115	3.511121140478899	1.5729764734792415	2.289729638433669	2.464820898579823	2.2573340533302138	2.1777965950560274	2.3503283663585077	1.1382398281873034	1.7633130526658776	1.7703631467923078	2.779957733489936	2.115694956552049	3.5859450941449014	1.5280459231117414	2.1783541865101297	2.4523111906025945	2.5966856636594953	1.4023974757842068	1.4342008943776194	1.330408749227905	2.7088405363284513	1.7589463889823092
S109	1.5951630851405034	3.2314099044862825	3.4787293065766836	0.2818033575791355	1.5141938575321041	2.1062980470457933	0.8913484671118626	2.6619325124627533	0.0	1.9856332136828811	0.9698590007424777	3.723664813221025	1.176413199898746	2.1920716046401316	0.8461778484578385	2.39377241474085	1.2459755229080978	0.52669816705953	1.781271014551591	1.673946885217414	2.7853895585437844	2.2180462239045067	2.3802894948124487	1.415070170322673	1.410740687311737	0.9975813853469113	1.848065569033646	1.872332354385893	2.6255720389099397	0.826893639592441	2.032673728597251	1.473836968028088	1.9451919096905963	2.2676519076896002	1.8287171958504858	1.2227919389862336	1.9034323001041424	1.5632177942925853	1.5383487704570806	4.202224855855086	2.401732290036153	1.353200606890411	1.2379046597525574	2.4709016808397375	1.674513564768572	1.824172742682264	1.616418311962863	2.6157655619116924	1.7294929567468065	1.429147356494242	1.5744009762999363	2.1743946445679416	1.9603077402639077	2.676742342324696	3.324530762408338	0.7103687836918067	2.583329327182203	1.8865924876847833	1.1401997549758487	1.842167460391175	0.9248386259926167	2.7670829030245976	1.231840956485301	1.2126463046956153	0.9495697787311704	1.4184729709362272	0.4330426544174992	1.605906328895788	0.9967315643125005	1.9886138386805	0.3186618856460697	1.9861695736133473	3.2474393281870118	3.5786955610004134	2.3973304470387062	1.7406247251505438	2.3510585356979568	2.695424369244912	3.8837767213846837	1.484502346012013	2.8950493957280448	2.485423426801349	1.6324090613963447	2.1211620647201137	3.893983881105153	4.012553186920267	2.9878755185971952	1.9058555376488016	3.3519246174476636	4.072797520544243	3.0954062608510737	2.809553459949771	1.4321196144933284	3.927543349904244	3.979929665753854	3.1657321910352714	1.6224637940023463	2.8453083511594675	3.7796529584342746	2.3905307594059404	3.1301586404148245	0.8839898782797384	1.8719464729377382	1.441607755366212	3.2052701819390124	3.409788659375793	3.8323211593572073	1.1836056724123616	4.391973722510471	3.333920339512413	1.4442818278456295	2.9642371898223425	3.6778306970607377	0.6053379658886755	3.871376729127888	1.9449213688708968	2.655904902196559	3.4698178621959657	4.240340368242413	2.5095343825868506	1.1537455551597275	2.903875742148948	2.8597006976793233	3.9336001998785015	2.138628328961748	3.6653669198319556	2.577328338682394	3.9985428294837853	3.6966819779455786	2.7683775042223266	3.7339782779032005	3.3184881759112783	2.299337693109696	3.375919141531596	2.411114072175682	3.346677551621056	2.000181314862624	2.7951774250407966	0.4724564927217464	1.651972159331781	1.5695589529476301	1.6858448084528024	2.0237689349672032	1.9788894369420136
S11	0.9521259485270861	2.1519685177069823	3.5216337206967823	1.8515759517215202	1.3646549147204288	2.640676459861843	2.224013291664665	2.491994958816228	1.9856332136828811	0.0	1.455935248765986	2.018419008185768	1.0315401417564816	2.3975642555232692	2.0212532129260787	1.9163064813774073	2.210059972215766	1.6377244851066959	2.2689312838116216	1.77176904162206	3.0373663194086933	1.8530421471868257	0.8783377430523993	2.2110901953149487	1.5961202984497442	1.8341865490694658	1.9751097752052562	2.042054025178394	0.8066853169386676	1.5644248984615903	2.6106337645493314	2.383128692905639	2.2217646205760735	0.6987307508175247	2.088095100507463	1.987719946404151	1.6231069234157987	2.238071829508521	2.201269005934218	3.0167673926063645	0.8279095528629656	1.8026197781504325	1.8030424457061824	2.6765318638387057	1.1047745654223866	2.589325937791618	2.2688814930353485	0.649826009866406	1.854580550100272	1.7757552347163894	1.3477141031018132	1.5494067576000632	2.28787706146822	0.7029911360602611	1.4038927865344943	1.7487963821274917	0.7911475257390682	2.005845568369905	1.2876759039594117	1.8751611724438495	1.4904986709236303	1.2982823447683078	2.0176538312880017	1.4964530445028033	1.5591271372810591	1.5685944013605275	1.7852729215696124	1.7365728093409976	2.0000356437328506	1.9503778340627982	1.7611527006697762	2.743037055139078	2.329040547588867	2.5784467283856105	0.8476738224309218	0.43555856570241874	0.450369559481672	0.7872669378002626	2.9054007678914164	0.523193875240237	1.8602601048420615	1.2390670126035248	0.46626291955079185	0.630845193490786	2.8082246762892646	3.1371602135702235	1.3506979779969905	0.49875185509933406	2.0474861264006323	2.2929553294864284	2.5235104850212955	1.5454331734838673	0.5703028230731345	2.776412771710901	2.951945674984159	1.48440726979904	1.0760300939708485	1.5498664661147474	3.159531347645102	1.3460856285250655	1.3735282654773588	1.3043509150303154	0.4441714015058855	1.9358542104649032	1.3099576028749917	2.242831645787159	2.88214625430413	2.4958943999138232	3.4438875219733296	3.1039636270476287	2.0046537427679056	3.196400880947905	2.1723546342969855	1.5933615858293384	2.594902927956704	2.15001175846018	2.9137818726624913	1.991710553363888	3.324669786646603	2.446291859693007	1.9427710340931192	1.4147132328029766	1.3762210217407749	3.105379024691086	0.7280871298455058	2.1370047317634917	1.0011400601679197	2.7230738609357763	2.2183252252766157	1.7626073792191088	2.4807076694105024	2.2703426406740093	0.6002989629243006	2.1391275967422203	1.1045363091123366	2.3592558833416493	0.363869721263863	0.9246846251565146	1.7457762444068698	2.5563399596305336	1.2383689848288812	2.3191975342461175	1.0289014442146476	1.6897781688263473
