	S1	S10	S103	S104	S11	S111	S112	S119	S12	S120	S127	S128	S136	S143	S144	S151	S152	S159	S160	S167	S168	S17	S175	S176	S18	S183	S184	S191	S192	S2	S20	S25	S26	S27	S28	S3	S33	S34	S35	S36	S4	S41	S42	S44	S49	S50	S51	S52	S57	S58	S59	S60	S65	S66	S67	S68	S73	S74	S75	S76	S81	S82	S83	S84	S89	S9	S90	S91	S92
S1	0.0	1.7604728430601564	1.4857011323644533	2.9272556659301605	0.7848378659022119	1.1358205760333735	2.96587970527099	2.115591803848827	2.152400432494487	3.0692276423165965	1.812419213145407	2.962192268982608	0.8966004683296889	3.3640142419958035	0.7154739780737066	2.569343337619617	1.2467254337305447	2.1184320050878114	0.9190326953526661	1.6076430589110842	1.128103699684216	1.4906426339506431	2.313642607136948	1.56813879580338	3.1273448141932594	1.3986723576436022	1.7506202386449887	2.4894566504732194	1.4231106838398648	2.0439455509081466	0.9729472618067627	1.6326555292209137	2.4213076919342638	0.4614980339528425	1.5004856546838414	2.1046119796453935	2.2067592850583924	0.9317955453258998	1.7973594892800446	2.6913532466655594	1.4154757289402922	2.8084862868469425	1.2646344475194156	2.396395532791947	3.532764133387464	0.4975034306950402	2.4790385942907585	1.7357187342090739	3.287192801796999	0.6210654265548131	2.2015806587172024	2.594414598893907	2.136614941474348	2.083302841416776	0.5707503894235181	2.562817794096451	1.728169487390666	1.5101935637069879	1.2090052567348024	1.7318632231009292	1.2898154409703837	1.9894420224241824	0.3821009906424828	2.2358276923471623	2.532240728640024	1.0236158557715795	0.9216085980805017	2.040306825194137	2.435883039234927
S10	1.7604728430601564	0.0	0.8086064500082161	2.474593173010321	2.2888668583063843	1.8668548761973225	1.8812701622723915	1.6091690524514668	0.8895861617862577	1.4536412384398254	1.317287147168862	1.2156725738687715	1.9829726882577885	2.085637854797885	1.4224038195339375	0.9772181606543042	2.279753431683058	0.4637147525094286	2.499176595488052	1.9574123254712887	1.8751782434330726	1.8970050952805053	2.598122222587221	2.1931346737040087	1.435344223912899	1.5153621027692854	2.385488201653252	2.4989022827909193	0.9740091387610159	1.0631241611577813	1.5616539968008367	2.0916901274910704	0.7540221582322333	1.3628950574647052	1.2010859590769916	1.486821067993306	0.5704159830723632	1.859099943582977	0.316016721527897	2.266629395865019	1.8547912200058525	1.2078842093270685	1.7585454113139865	1.600774439867786	2.1136786377855445	1.7598990392123743	1.0496460744268834	1.7181139215558365	1.8101593721915588	2.288782172745782	0.958321967109503	2.243908881511663	2.2377044261676646	2.0590076699718094	2.1924530158822155	1.2171408727554116	2.9405430386589666	1.5995805382588433	2.7503708396023314	0.9729655693162905	1.928557205053709	1.4613946402151239	1.9776677624638754	1.3461026398738725	2.7210644357075067	1.3259109462707186	1.907703189945759	2.813469981649792	0.8763941767940321
S103	1.4857011323644533	0.8086064500082161	0.0	1.8070595961783071	1.7994980239217722	1.2062051816595667	1.5262466972610322	0.9021135203120226	1.4854003030725604	1.674299356693559	0.5736322955590775	1.68993772168163	1.3541004867972581	1.8924066029577715	1.069987295163943	1.6911991089494574	1.5801178630154662	1.0083904585364896	1.9877141254338866	1.1570227950417011	2.063813986650666	1.1065291117080756	1.8309843348063581	2.4234564169269817	1.7605342554922183	1.3023752712738716	2.562125814648684	1.7275381068467577	1.4707379910479577	1.7492798750150163	1.108811077301288	1.327121726955149	1.3242358140526038	1.1322827210093147	1.5927481794595977	0.8711490230384258	1.2794957211928684	1.200795003477816	1.0209918228196673	1.5819989048720946	2.056215722941731	1.3967449634319615	1.0934696652239184	1.0346199373286482	2.0471749262166568	1.3137303278370274	1.2408579725514084	0.9625293901827635	1.8241318081910178	2.084476920986247	1.614423826429294	1.5488742317981563	1.4442834558692357	2.468609082989578	1.9372330769676163	1.4288059702316214	2.2617967503532905	1.7582122039488974	2.181930557021551	1.4958219201825782	1.2278215624903834	1.9882515574534132	1.7470969145657838	1.999896516609902	1.9226247383089061	0.9859103016593573	1.9224729460556245	2.032267680727824	1.5482253067070477
S104	2.9272556659301605	2.474593173010321	1.8070595961783071	0.0	2.7985801701537936	2.003038237972982	1.0970924187410873	0.9411449381632615	2.9910998379489047	2.2217163393079353	1.2828695706384894	2.6221746392189664	2.239350141725876	1.5020768673848204	2.486656048600178	3.0817440117936563	2.1244316366141627	2.4481004565966518	2.90236253779235	1.4144034936225232	3.7650259488648015	1.5171805422309472	1.2778889220153433	4.077353397390801	2.4209476278378896	2.5320693379007433	4.118603671451805	0.7772678903841018	3.273365122161257	3.4409851375261415	2.311984548496313	1.5489998994235317	2.6051740944638198	2.6972623430975116	3.297339234886388	1.1428648002142752	2.7606166470490217	2.107877464432635	2.6838088100663353	0.2731373271584007	3.674693334102768	2.0732266693709946	1.877151407799092	0.896607255352257	1.8106299335040261	2.5637921453030397	2.1797656843201128	1.3013209673694774	1.8984956902812722	3.4743658494525334	3.1630141031686883	0.5040301301680695	0.96635391448283	4.110982258243791	3.2743572411464186	2.343610176333409	2.5461289752574654	3.2756181640746984	2.913595055301767	3.17823989772811	1.8639309341616679	3.65247016618834	3.158950034586786	3.6463423570073004	0.978086225431791	2.361411258595678	3.490720146134546	1.8293015123842413	2.9456863945861307
S11	0.7848378659022119	2.2888668583063843	1.7994980239217722	2.7985801701537936	0.0	0.8378974249387883	3.116213354011138	2.1763974895461007	2.616344219580103	3.394799339547551	1.9582260745961892	3.4209321586543053	0.5907462058873333	3.5630192786522463	0.9256298347635021	3.0818410866163224	0.7930738888383846	2.6513871414510435	0.2847831352826729	1.4157429752377242	1.7218747348788725	1.3148625655681827	1.886939759289882	2.005233989510836	3.513735225240608	1.4478048900779041	2.03907732583755	2.193939422121267	2.112660891679024	2.6388968184679618	0.9391469251589432	1.2889824565818238	2.8654847729235486	0.9989373134773171	2.0288167558807646	2.1238149121250105	2.7114847362676255	0.7945636000663764	2.3282388865301105	2.564765725949148	1.819661899758684	3.1510693343793315	1.0367103761886585	2.467710472602103	3.7569465400192095	0.5292147469172428	2.7682144345806114	1.5959362054091117	3.526013421716545	0.880464961236805	2.7052002250375784	2.4239067924858966	1.8744262143400388	2.5253255917092075	0.6724876048359412	2.8266153287911897	0.9947924644698879	1.8127450477189806	0.6300078178837556	2.259312880011352	0.9663338779747183	2.505654910663456	0.7295398292474624	2.790601345014224	2.2094992829556652	1.1646982752666548	1.3183455176774406	1.496814104186099	2.9201614673917167
S111	1.1358205760333735	1.8668548761973225	1.2062051816595667	2.003038237972982	0.8378974249387883	0.0	2.3434902980031906	1.4203697096532835	2.250083506018569	2.713152254766069	1.2500424565184765	2.8435180666028903	0.4254686553031924	2.797241767167096	0.7483712323775827	2.6618646968643827	0.5863004818081746	2.1843186221419937	1.0239153288089202	0.726326876877749	2.05459103503623	0.6377160666891114	1.1952813968076503	2.3384213758261736	2.8687938262716806	1.1028373483564755	2.357301655419115	1.4391994515930469	2.055276845070611	2.456030509606141	0.5577721500733371	0.5377114200792528	2.347466452777761	1.0169050066261347	1.9580960609006388	1.3112489285307858	2.2755632303129967	0.49678105498722586	1.9507363865170233	1.755568032542168	2.0085775645801895	2.4812742374916197	0.22578416903737883	1.6699262337530099	2.9915947783841155	0.657181855106662	2.1295180345269427	0.7611349028731671	2.7763487651149354	1.5501342818383923	2.38407488990045	1.6028328336410667	1.1167922088038533	2.6313449817854613	1.312727362466159	2.2080099545777436	1.0924931438391412	1.7729536311479623	1.2005392601831044	2.064694377914103	0.16426936111595286	2.4257080886396554	1.2454277898797887	2.6277674054609017	1.557022991076505	0.7979647345076532	1.6654719496138115	1.11267916821475	2.486265195149175
S112	2.96587970527099	1.8812701622723915	1.5262466972610322	1.0970924187410873	3.116213354011138	2.3434902980031906	0.0	0.9801416158404282	2.4203618524414017	1.2980818673097203	1.1822897334036657	1.6461032599731338	2.5640473871777862	0.48753282993194313	2.520558911526188	2.322082218502107	2.6019120564590588	1.6892292494201602	3.2658902942290995	1.876796530975925	3.5704682864818613	1.9307454130436332	2.1170180414427655	3.895371937946203	1.4302278598425981	2.5349577901223483	3.9988024303872858	1.6938852222195766	2.8264612125611266	2.868045755695615	2.441920119956265	2.08963642373356	1.8607214734416473	2.646624722542426	2.944871092139247	1.1498619098017837	2.0643152993271197	2.3907308814798998	2.1095559909185275	1.0873943090884952	3.495111757623384	1.149702084041557	2.187466398350841	0.6950790577836135	0.8283472750562701	2.721484865421524	1.5540002621707854	1.6481012148511835	0.9763656852442063	3.570966640225939	2.5669987452512935	1.2535153141627848	1.6929394315217152	3.7887802104594597	3.4072408019662324	1.7799139132121833	3.1982877416844504	3.0972921494727137	3.3602271939989343	2.726719013742458	2.2620368787680745	3.21269837425516	3.2360374222384527	3.0895061413011904	1.9177441814318203	2.3673238954908777	3.4273851460759026	2.615325593966972	2.2352399918020827
S119	2.115591803848827	1.6091690524514668	0.9021135203120226	0.9411449381632615	2.1763974895461007	1.4203697096532835	0.9801416158404282	0.0	2.2486140631140445	1.812573839240565	0.34771936003315107	2.034816812125956	1.6056079832853716	1.4589124804129028	1.719461364219886	2.3645237926084253	1.6245967373457517	1.6183332963070902	2.30581548973488	0.9057945695907621	2.9035989275476886	0.9541250878574355	1.372474081091323	3.2616909175480706	1.954962598611771	1.897027828284081	3.360951589285938	1.0486049471582937	2.369586941461879	2.6096441567441975	1.6292977637227184	1.1701703934561838	1.914068291373563	1.861771389268432	2.469687382006685	0.634998625893298	1.9930016649260436	1.4306356325572966	1.845851774635155	0.7583203975496605	2.8836749680801788	1.568001739219371	1.3012622382930281	0.4558856504729129	1.746289738693359	1.8304640274307378	1.6279403601595572	0.7975247950860586	1.6982136939420776	2.7068054031464923	2.4012269746079924	0.8280666251112989	0.8739022627800306	3.325507558250653	2.5375000943104475	1.834254271429736	2.2476124851513495	2.5420212632415473	2.383258240319052	2.361362125508886	1.3348389691356168	2.8521624593737736	2.3867259981067845	2.8474544143260694	1.2227515408245153	1.6288529450327927	2.6947305596308877	1.716022793993653	2.2295972363660863
S12	2.152400432494487	0.8895861617862577	1.4854003030725604	2.9910998379489047	2.616344219580103	2.250083506018569	2.4203618524414017	2.2486140631140445	0.0	1.5791251830876418	1.9964452005737199	1.4112461079873149	2.446606800963054	2.553387893122664	1.698397601816451	0.5838730063129287	2.7693469274890945	1.1893489416110752	2.873065386525244	2.527648444693037	1.8821276251537562	2.4651152549341733	2.9807361639769003	1.9679636966664897	1.6030963498997615	1.4347983616663247	2.061170268826746	2.968351207314351	1.106665857366243	0.6335028291482232	1.79126166347332	2.5255312031385757	0.6845732980107125	1.714764634991463	0.9218215600005447	1.8920941373445002	0.5107097016424221	2.393299904309245	0.5936544857157662	2.7624938828175543	1.5954866078237921	1.4852747119634202	2.1117117382507273	2.120110353142619	2.4491789701825053	2.1223364446918023	1.000652195656925	2.1506482289425293	2.0246238869129134	2.5355824154182707	0.1936475044021967	2.6786092684073557	2.7416194732447527	1.5348177371404004	2.40862784538321	0.9572973813310135	3.30587751385617	1.2449238885178089	3.1838370614291533	0.5701709179134589	2.3249230019875484	0.8922246136420123	2.225188892512966	0.7136828166894025	3.2749044238553133	1.5143193037348048	1.8984257642265214	3.285122240984627	0.43308239869258786
S120	3.0692276423165965	1.4536412384398254	1.674299356693559	2.2217163393079353	3.394799339547551	2.713152254766069	1.2980818673097203	1.812573839240565	1.5791251830876418	0.0	1.7805923156980341	0.631145026100174	2.973978388673553	1.1757401466251909	2.5500758332935143	1.2942042228441832	3.1571800492550364	1.261256612150708	3.6148941529901863	2.5707359542556016	3.251448211899985	2.574741475070943	2.865085886821183	3.4580244113259506	0.30867900839923257	2.346290042207097	3.5497422839006854	2.6059837600783324	2.3581299617233267	2.0858563139742388	2.528698113755737	2.6773319833912015	0.9326761707949505	2.6447428754872453	2.3943756912226783	1.5855071730692087	1.2440285475016597	2.840056555429471	1.5261131472466942	2.1057383104106773	3.0556914232121892	0.30928648141427534	2.524595298684564	1.464531093989829	0.9316541348449935	2.9063240346429677	0.7764039155121603	2.1661224042305425	0.5159444005039294	3.6186852543154733	1.6954408623303792	2.135190889201601	2.526396083575005	3.1086230112012454	3.461983652848634	0.9435542983564531	3.758212133241743	2.630842017431053	3.82422088669265	2.071561758072245	2.6941201773995536	2.469259592129741	3.2694629647575266	2.2325068285455147	2.932837957227961	2.331158858605754	3.1995913177598316	3.3868347070170217	1.258994847962479
