	S100	S101	S102	S105	S106	S107	S108	S109	S110	S113	S114	S115	S116	S117	S118	S121	S122	S123	S124	S125	S126	S129	S130	S131	S132	S133	S134	S137	S138	S139	S140	S141	S142	S145	S146	S147	S148	S149	S150	S153	S154	S155	S156	S157	S158	S161	S162	S163	S164	S165	S166	S169	S170	S171	S172	S173	S174	S177	S178	S179	S180	S181	S182	S185	S186	S187	S188	S189	S190	S97	S98	S99
S100	0.0	2.5690049235759504	3.4205315384150254	3.0488212273295168	0.7594519405777729	2.9261980308860323	0.8466928963888125	2.97379289142726	3.613898515895984	3.7177659049986267	1.37601935120399	3.481469709808422	2.016992897405468	2.4282614998018954	2.977995262116654	3.987804857862776	1.1337832433216448	1.880566854119127	0.9216213358146755	2.726788128166052	2.743733810805667	1.831829779939016	1.945621908371361	1.836442387839298	1.0685114053947078	1.1776563540074205	1.075555608528916	1.5805361078993387	3.075335809916217	0.9751651901873705	1.2364856536396616	2.178655744602264	0.9664192714336479	1.0426807536966496	4.442502552691735	2.1794051014283378	2.685818771544299	1.8877707981529852	1.3225762280375044	2.9413100574218	3.405591254557529	0.5793201338499876	2.239703119670707	0.9312927259148381	1.030953775230574	1.9858531686348193	2.8777290024011095	1.2745875063533163	2.677850076342094	3.4411010425294286	1.02106058128434	1.729439427601774	2.843586689045336	2.7989836517007562	3.4765487631515555	3.2852601353077238	0.7608909530730158	1.0640939937540064	3.8836473552161985	2.0860154016497168	1.2770144616011667	2.488953464084787	2.04199458973414	2.8847313051251806	1.8704948523405336	2.2095449659236013	2.234525784889045	3.393099892288929	0.5132717032657621	3.5580119351491692	1.0977468515568973	2.4444405218134175
S101	2.5690049235759504	0.0	2.5167290273691076	0.6456026183817468	2.1360768546712605	1.3192208337948752	1.9578433742267507	1.0125019915147424	2.498195180062759	1.2226446362402932	2.5717773656506773	1.7083517716438656	1.4953827953322516	1.127474870287535	1.9637078548401041	1.4333373075093028	1.8993859828195974	0.7785570966116441	3.276041297951278	1.543225415017056	2.373714021012919	1.1733526839307769	0.9143058141222249	0.8394529137240806	1.5907616158294116	1.4856176922972044	1.5778363649188616	1.0303610519763777	1.5896227677813886	3.0676768544234765	1.4006441043793916	1.7170194795046012	2.338789309149149	2.094037675053746	2.136820734957598	0.5607834030589671	2.1028780157294356	0.8954505551294	1.5382141287267053	0.920954277528092	2.212757690820563	2.356481394570402	1.4207549266631585	1.6487239280187935	1.5998540116684792	0.6631631081815474	1.833853276386159	1.3952772539585812	2.427707949083158	2.723137168871992	1.7239532680655187	1.0607558098134797	2.674798576903694	0.7991009596099657	2.512349235135222	1.513142904018169	2.2763229952710877	2.2311630170590275	2.546027069378005	0.6284225357205866	1.676709240534525	1.1905436096944653	1.7543153468703414	0.3671053883405839	1.359717012685173	0.865274330945485	1.8911202791429118	1.2802134558816236	2.621575805167658	1.017651384106119	1.61359430869663	1.7898463547246999
S102	3.4205315384150254	2.5167290273691076	0.0	2.1486006322539604	2.9237196958747242	3.8292315362192197	2.5931214582947906	1.6220602554467636	0.40397698796153503	3.092929320331087	2.3252828412946642	4.092249787148894	1.6937549310745967	3.4701649004917727	0.5977053627370961	2.8055850189898006	2.2960314467445264	2.847774454885073	3.4963917435805385	3.8996054328675673	0.8503809897454232	2.2570661943258763	2.0426760748827917	2.481687702407001	2.691395133392941	2.660207956113138	2.540334446798328	2.6054480982661645	1.11084855127895	3.1311958849447716	2.4849664793882265	1.3111778286138251	2.545738905846442	2.452982353133236	2.2400168072355315	2.752699957537742	0.7853364534786601	3.0348795542353053	2.244753445583343	3.4250824807287854	0.6258300510080577	2.9605442855656725	1.3597344586712306	2.9594302238122085	2.601139485248091	2.7444851484165924	0.7085642039041641	2.6799036978426383	0.9163783540817946	0.2908201908621481	2.4978016277481934	2.1192894592288236	0.9268468489637601	3.310279560481337	0.21347721655176988	1.2692038960331398	2.700610051225129	2.411654254885299	0.6364811065892511	2.8585642088370253	2.193660279239902	1.6516148380975995	1.5604303929331937	2.7578073649493935	1.7066130082185007	3.2102021852428697	1.3262315327089933	1.6689811306623827	3.109191306431167	2.5359039107156782	2.665081972030649	4.044782952297553
S105	3.0488212273295168	0.6456026183817468	2.1486006322539604	0.0	2.5549360091747224	1.8274645332945094	2.3348404650246386	0.5794707998229724	2.068931847985093	1.0607486971664484	2.785308052935737	2.050208453007996	1.5874733948624404	1.6930336146759906	1.6565484231399477	0.996068671663215	2.2026050578810987	1.3938754911451943	3.6581115656614362	2.066072030972127	2.1963187393171313	1.488032087209343	1.182241288306392	1.3119895678901732	2.03673338108933	1.9433668179955108	1.9930154940325648	1.5280587272152566	1.2152011529645053	3.403188473363551	1.8210610708361648	1.6958699658490883	2.6453590352062637	2.405747682063655	1.5023702045442868	1.153892712613994	1.9116488577389639	1.5269792348434466	1.8655438056698501	1.3754069785656924	1.8139245448026355	2.759773749702694	1.3819079680737023	2.1655588756117754	2.0287269052191923	1.2560737576582734	1.543573179722825	1.8687061243925656	2.282299684278819	2.38689761360048	2.107660700996986	1.3764764311674533	2.504146381938735	1.2970002993627603	2.130629178746187	1.0240997455240726	2.632559801074052	2.518728252856105	2.0477191512377853	1.2559469518550201	1.9743454121364827	1.1276827571902246	1.7918186789243704	0.6792293222024085	1.490511675172034	1.492112161836535	1.8649614944687265	0.6871774074925295	3.021120767769326	0.5662359415893613	2.0443386325598603	2.363156903365017
S106	0.7594519405777729	2.1360768546712605	2.9237196958747242	2.5549360091747224	0.0	2.6556314100895837	0.5419339735170443	2.4952179920458515	3.057683391080205	3.216288240616851	1.052102688644677	3.099762275074927	1.7101578568141014	2.05779416138931	2.5006075772442404	3.4950815402406175	0.8233264776477559	1.5683286359498616	1.3421901451024507	2.387169974783714	2.208340162264231	1.6139612762700901	1.5508631768386658	1.5441794806207632	0.554690636807522	1.02227512678182	0.728755467142815	1.1164510653862567	2.6369364477378894	1.201698863424779	0.8196730592911357	1.7691825715558374	0.6597881571390948	0.5284129923562337	3.9174258162032682	1.8851941769190188	2.1514602012467283	1.5690106284392873	1.005278629777995	2.6365807393910705	2.9694383954164483	0.3253230754368073	1.770293218307273	0.7835921059514792	0.6646509889185335	1.5664069969301628	2.3763188733839886	1.1211859088306473	2.305551471614612	2.985010466497428	0.7436360319171164	1.3287138615705363	2.3536117844045834	2.4507395626928545	3.008757644942595	2.8109927502366308	0.5061393763965691	0.7066377874864127	3.3455771675152253	1.7010801636251778	0.8736110194977629	2.140337579821995	1.4192895125287024	2.4610969821083897	1.389245912442177	1.8713099609621597	1.900832757391037	2.899371061171141	0.6061500637954076	3.0746418269363773	0.5227585620556396	2.1705808878169375
S107	2.9261980308860323	1.3192208337948752	3.8292315362192197	1.8274645332945094	2.6556314100895837	0.0	2.655799036720945	2.309031673964358	3.7948595328854124	1.5441078756139741	3.4430019606375493	0.7790879164268177	2.6373800915032484	0.6916276711415066	3.27647488458013	2.0671479620984927	2.7437088401532814	1.2794028356791904	3.8080997614276257	0.6838327393594942	3.605538143948911	2.1242843419409896	2.0226914959920514	1.6949893867693662	2.1866110548919675	2.136504790246015	2.2848868425071687	1.6999984701379771	2.8967742714908167	3.713175451626417	2.137946498322358	2.9258791779534916	3.095207403718468	2.8593382119227635	3.1110036003365313	1.2580616591447717	3.3579652099114248	1.1437694756829624	2.4178858306712505	0.5235683988259803	3.527138147476906	2.9082541036193956	2.6603996172023625	2.087558742712482	2.267692554721418	1.2776797129083324	3.142358907052047	2.034739938888509	3.6756363346046577	4.034149168580024	2.464488467811568	2.075824669813369	3.902431324710585	0.5331949836127303	3.83079121420481	2.8012087941516937	2.954013563997317	3.0346479923305507	3.8410996675900533	1.1221487266223	2.5642032219860735	2.428308938743575	2.85404207275761	1.151203343966202	2.4880928853698814	0.8152604936658358	3.089998969260673	2.4996533844967166	3.1586453246936044	1.8498368421703077	2.223542223169322	1.0159870374670417
S108	0.8466928963888125	1.9578433742267507	2.5931214582947906	2.3348404650246386	0.5419339735170443	2.655799036720945	0.0	2.1888469173342733	2.775703877117135	3.1232284868373004	0.8855315416010647	3.174418424346659	1.239545961490919	2.132229100697137	2.139299808444301	3.3129415385805547	0.3233635707544372	1.4313774137097572	1.331250611057689	2.5226553354407737	1.9478385269108147	1.1881839577808113	1.209127195587073	1.2505667719202318	0.5348597027040006	0.6673907205308964	0.3949755828903301	1.0259755980711738	2.2557943049678797	1.1163592096618609	0.5646403486955499	1.3520520408839194	0.4760732745771607	0.3827521801308251	3.6555299937031136	1.674518659827418	1.859781372741249	1.514873849708739	0.5460205248612613	2.5436022510739016	2.5781673629271955	0.5072414492296305	1.4010570366506516	0.6596883860690309	0.3915766734829835	1.4807134342741743	2.0339636285102882	0.7866954440642033	1.905858790382313	2.634344062254264	0.27601556043901815	0.9871895446200691	2.085315290210266	2.386777528909989	2.650113848090242	2.468595674226683	0.34045388749003774	0.44378787294178207	3.0393132160589116	1.616877460248594	0.43672235181626834	1.7239854955462426	1.2306990587140494	2.309606645139098	1.033580976457562	1.857056090717672	1.4421614795039837	2.6049447251063267	0.7077775215343965	2.877663409149083	0.55077852519415	2.369215350102957
S109	2.97379289142726	1.0125019915147424	1.6220602554467636	0.5794707998229724	2.4952179920458515	2.309031673964358	2.1888469173342733	0.0	1.5994027474852455	1.6187632788682642	2.5086079450741514	2.6043332033850666	1.215635109902681	2.1111455267809167	1.1105037276901393	1.4078664847932676	1.9867657231679208	1.58969673248875	3.460428150105453	2.5265827780777803	1.7517699933179018	1.3249931542245434	1.0438348055739708	1.3310647169154715	2.015849315242932	1.8715408548372765	1.900620319727775	1.6124824923189571	0.6369514021521586	3.172203409250958	1.7584785327380026	1.2575663884804804	2.4388939835796677	2.23361080261225	1.4820013671002374	1.3659846399834172	1.4549956977589618	1.7757901782138295	1.6829768672396745	1.8540615662495321	1.2476389374210544	2.6476195887566316	0.9778048056707853	2.1664235884856398	1.9539947315431225	1.4909581234591556	1.0193232696233134	1.8179382013229186	1.7587518053022853	1.843448233270319	1.9671116452455013	1.24796149461852	2.039044423209418	1.7781863301270626	1.5838285084060497	0.5012773878886484	2.4651326597140453	2.300098526152875	1.5806155154159875	1.5375302803163826	1.7766661586273806	0.7183645531806255	1.5204164764554857	1.1842527547924222	1.2137636604384425	1.847024187445745	1.3956900412647346	0.42090155134946233	2.883293169034543	1.0305334146229086	2.0210170286604487	2.764190672463442
S110	3.613898515895984	2.498195180062759	0.40397698796153503	2.068931847985093	3.057683391080205	3.7948595328854124	2.775703877117135	1.5994027474852455	0.0	2.9287317233043835	2.54052852084604	3.9830116955502737	1.9111597972838923	3.4383019234873906	0.7890070327607199	2.634800022892127	2.4986398448535736	2.9063491248886915	3.7451480511203044	3.846984462549936	1.016438297371278	2.42578915029008	2.15306789691468	2.5870963354533307	2.805926953710857	2.826285429758196	2.6942646318525654	2.671149394468994	1.1943828778610213	3.3816318780803223	2.615123480031329	1.537071926365773	2.74532123246929	2.619702297460293	2.021104134045586	2.8072214375162208	0.9464567869813308	3.0765810119930577	2.425110396959567	3.39389526087224	0.8086447518336404	3.1320004761841242	1.5083315178288283	3.102224872121333	2.748606692442788	2.768692563352156	0.8419584777880144	2.838574989573569	1.271080351415385	0.6614292548249742	2.677207455618697	2.242677244198384	1.1484881980903834	3.2717444897113532	0.5266720667872384	1.2459778123768481	2.8932520222287192	2.610494947306945	0.3985613948332608	2.8773766532590512	2.370969793407851	1.7954950381034045	1.6474691258271108	2.7048929985490036	1.848143267815708	3.2142351565997678	1.6056281738807257	1.5765648524076166	3.3044752629866387	2.405331413081599	2.7732412878741965	4.022013848572672
S113	3.7177659049986267	1.2226446362402932	3.092929320331087	1.0607486971664484	3.216288240616851	1.5441078756139741	3.1232284868373004	1.6187632788682642	2.9287317233043835	0.0	3.6583284471252653	1.3873069547525962	2.6011202539221103	1.6489794480385662	2.6657883422867155	0.665207105001003	3.0676881357685404	1.9001235432294008	4.446227016174855	1.8068692267480808	3.141700753158312	2.372428763957421	2.0896837183077657	2.0604707869261563	2.7058155458099806	2.696544410919043	2.756314846599141	2.1468837083995935	2.2345413044809885	4.2318363396156355	2.5690113779430486	2.724315906979714	3.4677500698303043	3.2013378801828405	1.7444848710493734	1.7026668272593828	2.879174376860337	1.9104852032089992	2.7295217429125636	1.2169214532500126	2.7908412361423625	3.47674766373356	2.400904190327429	2.807646556861543	2.7683685843552652	1.7370368293773009	2.5487297466926124	2.607443828716274	3.3188972251239117	3.355862526136526	2.9117095855749855	2.246697971138879	3.4612591414389735	1.1875740485002486	3.0885276863436535	1.9789253454544984	3.420252957663547	3.3588340895983855	2.869306702942267	1.6617095999551044	2.8362865549368803	2.1662214876710775	2.6695157000066008	0.9099715443508967	2.4412116329239595	1.6731321006950794	2.90960762187482	1.5472611747685834	3.7574635136918744	0.6826944925106732	2.711253254348003	2.2340365188052203
