otu_id	S1	S10	S100	S101	S102	S106	S107	S108	S109	S11	S110	S112	S113	S114	S115	S116	S117	S121	S122	S123	S124	S126	S127	S129	S130	S131	S132	S134	S136	S138	S140	S141	S142	S144	S145	S147	S148	S149	S150	S151	S152	S153	S154	S155	S156	S157	S158	S160	S161	S162	S164	S165	S166	S167	S168	S169	S17	S170	S171	S172	S173	S175	S177	S179	S181	S182	S185	S186	S187	S188	S189	S190	S192	S2	S20	S25	S34	S36	S41	S42	S44	S50	S52	S57	S59	S60	S65	S66	S67	S68	S73	S81	S82	S84	S89	S9	S91	S92	S103	S104	S105	S111	S118	S119	S12	S120	S125	S128	S133	S137	S139	S143	S146	S159	S163	S174	S176	S18	S180	S183	S184	S191	S26	S27	S28	S3	S33	S35	S4	S49	S51	S58	S74	S75	S76	S83	S90	S97	S99	S178	S98
OTU_845	3134	572	109	138	270	18	0	0	58	599	25	0	0	0	0	48	0	0	0	48	0	30	334	520	245	975	52	92	130	186	0	21	187	0	51	0	98	216	117	0	0	0	138	0	297	40	25	283	38	0	0	0	76	294	36	466	154	439	53	0	19	22	744	0	501	207	69	125	0	2884	18	114	825	47	58	23	430	45	73	0	82	950	340	0	0	0	0	187	0	0	258	0	66	0	38	189	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_2212	0	600	229	15	0	19	62	225	18	0	17	257	195	28	35	377	29	20	37	65	115	42	317	0	128	48	133	354	329	94	74	26	41	0	0	203	0	159	117	57	110	278	45	51	60	84	41	261	101	0	303	0	83	105	118	0	153	70	67	0	62	141	45	134	101	0	33	25	34	0	38	32	503	44	0	23	470	410	433	46	66	0	0	159	300	208	63	37	0	82	133	203	0	114	242	0	73	83	440	331	55	146	30	297	83	49	25	194	99	45	149	193	0	430	62	99	331	245	213	44	59	215	744	0	80	86	226	120	72	379	31	0	47	93	68	506	171	44	120	0	0
OTU_2451	0	0	0	0	0	68	0	2023	0	0	0	0	0	0	0	0	0	0	847	0	0	0	0	0	0	0	0	1372	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	2384	0	0	374	0	0	0	0	0	0	0	0	1443	0	0	0	0	0	40	544	0	344	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	641	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_4091	0	0	253	19	444	44	16	74	145	0	385	0	0	90	0	484	0	0	351	66	286	299	0	143	131	109	84	52	0	151	145	241	194	0	70	102	262	0	171	0	0	15	252	149	59	60	46	0	39	181	253	476	96	0	0	24	0	240	20	344	121	0	30	44	125	257	11	52	44	125	244	142	0	0	0	12	0	0	0	0	24	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	69	0	219	0	0	0	0	0	85	23	285	0	52	0	92	165	0	0	153	0	0	0	0	0	0	0	0	0	16	35	0	0	0	0	0	0	0	0	0	139	37
OTU_1285	0	0	0	0	21	0	0	0	0	807	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59	0	0	0	214	0	0	0	0	0	0	0	0	0	0	0	0	0	650	0	0	0	0	0	0	346	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	301	0	511	0	0	0	0	0	0	0	0	0	0	0	0	337	1169	0	0	0	1055	283	0	0	0	0	0	0	0	0	36	0	113	0	0	61	0	0	0	0	0	0	0	0	596	0	0	0	858	11	0	0	1468	0	0	0	1873	0	0	0	1662	0	0	0	83	0	0	0	0
OTU_1207	20	46	9	32	147	0	14	0	45	248	11	430	45	0	55	153	36	23	0	41	17	18	149	0	30	26	0	17	61	21	0	0	10	156	0	26	39	25	16	71	523	30	115	0	36	9	23	314	15	11	0	109	12	64	300	11	74	13	50	0	194	13	0	12	154	35	13	12	33	0	74	0	95	71	69	82	0	47	69	258	35	177	50	42	45	60	107	21	306	89	126	44	25	71	272	91	216	72	38	27	38	0	28	219	212	27	20	0	0	9	0	123	167	82	22	0	43	68	0	27	24	17	19	353	213	416	188	818	70	83	41	291	15	325	31	167	45	84	11	0	0
OTU_129	104	0	0	106	32	14	101	0	61	125	162	0	112	37	28	0	18	120	175	66	43	13	197	55	19	60	0	26	76	79	0	0	51	98	46	121	8	48	48	0	281	39	84	7	13	53	12	113	76	51	0	131	0	111	24	119	55	20	71	0	85	15	46	81	57	0	64	33	29	0	204	21	0	0	59	91	0	419	0	0	400	98	161	0	0	43	831	0	12	0	165	322	22	14	268	0	831	16	21	0	289	57	33	33	38	15	38	0	39	45	0	49	76	25	84	0	0	0	18	0	0	212	0	34	27	94	0	23	24	38	12	66	0	186	0	166	0	0	33	65	46
OTU_2449	44	0	0	57	14	33	191	18	60	0	81	14	155	12	187	0	58	0	0	44	0	0	36	42	107	0	27	18	0	71	30	232	12	18	19	9	39	33	0	0	0	187	22	7	96	26	24	0	16	14	118	11	11	0	314	16	388	0	291	24	58	0	6	98	0	40	14	0	19	0	272	25	0	0	0	253	589	31	0	68	17	0	0	0	0	50	0	0	54	0	656	0	17	0	0	213	0	16	0	0	0	0	48	0	0	0	75	0	0	0	0	0	18	0	22	0	0	0	28	0	43	0	0	0	0	52	0	0	12	0	0	829	0	1520	0	670	129	631	61	69	10
OTU_436	0	0	157	207	0	112	181	113	0	0	0	0	0	0	183	13	605	0	78	28	0	7	0	50	0	120	111	47	0	0	259	16	58	0	0	241	10	704	0	0	0	0	0	15	22	221	0	0	0	23	0	0	13	0	0	0	0	0	0	0	0	0	106	274	49	0	273	106	337	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	465	0	42	75	65	0	0	0	0	145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	917	0	0
OTU_1414	0	78	241	50	0	66	95	80	0	0	0	18	0	63	51	183	51	25	416	58	217	0	0	160	60	43	10	68	0	36	0	234	47	0	52	46	0	82	162	0	0	90	0	93	26	56	104	0	28	0	0	24	262	15	0	76	0	0	27	0	0	0	24	33	50	63	146	0	41	0	0	143	0	0	0	7	0	13	245	0	80	0	0	371	27	0	0	0	0	205	0	0	0	28	0	0	0	256	0	0	41	0	0	0	0	348	96	390	0	94	80	73	0	102	156	146	0	378	0	0	0	0	115	0	0	0	23	0	213	39	0	0	0	0	34	0	0	82	58	0	43
