otu_id	S1	S10	S103	S104	S11	S111	S112	S119	S12	S120	S127	S128	S136	S143	S144	S151	S152	S159	S160	S167	S168	S17	S175	S176	S18	S183	S184	S191	S192	S2	S20	S25	S26	S27	S28	S3	S33	S34	S35	S36	S4	S41	S42	S44	S49	S50	S51	S52	S57	S58	S59	S60	S65	S66	S67	S68	S73	S74	S75	S76	S81	S82	S83	S84	S89	S9	S90	S91	S92
OTU_845	15184	995	0	0	660	0	0	0	0	0	763	0	534	0	0	0	0	0	986	1131	118	576	96	0	0	0	0	0	2856	94	119	98	0	0	0	0	0	677	0	200	0	274	0	158	0	1223	0	344	0	0	0	0	0	456	0	0	1071	0	0	0	0	133	0	0	138	198	0	0	0
OTU_2212	0	1044	1687	1437	0	200	630	1084	167	187	724	588	1355	868	0	242	521	2028	910	403	390	574	618	1177	835	61	163	1272	1741	87	0	97	2487	0	126	91	462	740	224	1815	293	1623	88	127	969	0	122	0	445	0	967	343	95	89	0	107	553	121	291	207	490	0	555	403	881	0	467	210	233
OTU_4091	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0	0	65	0	0	46	89	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1285	0	0	0	0	888	0	0	0	227	0	0	186	0	0	415	0	0	0	2266	0	1138	0	0	2120	0	0	2355	63	1043	0	1050	0	0	0	2300	0	0	0	0	0	7578	0	0	0	0	0	0	0	0	0	0	0	0	820	3535	0	0	4303	0	0	0	2126	0	1000	0	0	226	0	0
OTU_1207	95	80	146	117	273	0	1054	797	427	102	341	0	253	551	302	301	2468	388	1094	248	987	279	58	153	231	37	66	102	330	140	142	341	64	675	334	438	384	0	1526	210	282	257	489	67	213	228	158	51	117	746	145	99	160	52	925	116	525	39	1015	94	105	50	183	249	991	95	123	620	202
OTU_129	504	0	82	0	138	78	0	121	76	58	450	0	314	222	190	0	1327	117	394	427	78	205	66	0	0	0	0	1252	0	0	121	378	0	64	42	99	0	0	43	1854	95	0	0	774	96	126	47	163	0	170	0	70	1247	0	37	0	687	0	580	0	775	44	182	49	978	0	0	2392	46
OTU_2449	214	0	0	0	0	0	34	0	0	0	82	0	0	0	35	0	0	0	0	0	1033	1457	0	0	0	0	118	0	0	0	0	1055	0	0	0	55	0	928	0	138	48	0	129	32	0	0	0	0	0	2126	0	82	0	0	164	0	2725	0	4739	0	0	34	734	0	0	223	353	0	46
OTU_1414	0	136	0	0	0	0	45	0	0	1335	0	1183	0	329	0	0	0	481	0	59	0	0	0	0	1290	0	0	0	0	0	0	31	383	0	0	0	46	0	0	58	862	919	0	154	100	0	0	0	1038	0	87	0	0	0	0	267	0	0	0	105	0	0	0	99	0	0	0	0	720
OTU_1391	0	0	0	0	0	0	0	0	0	6378	0	0	0	0	0	0	0	206	0	0	0	0	0	0	2270	0	0	0	0	0	0	0	3355	0	494	0	0	0	0	0	47	62	0	0	0	0	0	0	666	0	519	0	0	398	0	0	0	0	0	6705	0	0	0	5316	0	0	0	0	800
OTU_1340	370	0	1592	179	110	143	0	230	0	60	419	60	60	232	253	30	375	311	132	366	0	210	88	0	165	0	0	61	0	118	0	214	33	161	0	124	64	0	0	142	0	163	0	155	175	0	0	116	39	123	0	0	269	0	89	53	294	0	118	0	94	0	36	0	265	46	0	175	0
