otu_id	S100	S101	S102	S105	S106	S107	S108	S109	S110	S113	S114	S115	S116	S117	S118	S121	S122	S123	S124	S125	S126	S129	S130	S131	S132	S133	S134	S137	S138	S139	S140	S141	S142	S145	S146	S147	S148	S149	S150	S153	S154	S155	S156	S157	S158	S161	S162	S163	S164	S165	S166	S169	S170	S171	S172	S173	S174	S177	S178	S179	S180	S181	S182	S185	S186	S187	S188	S189	S190	S97	S98	S99
OTU_845	471	613	1268	0	94	0	0	218	95	0	0	0	200	0	0	0	0	228	0	0	139	2039	775	4031	215	0	386	0	1272	0	0	87	992	136	0	0	573	1051	479	0	608	0	1181	157	114	143	0	0	0	0	243	1628	1642	181	0	80	0	4211	0	0	0	2120	239	420	543	0	19602	83	446	0	0	0
OTU_2212	986	67	0	130	99	286	1055	68	66	565	124	184	1585	132	92	71	91	308	492	104	192	0	407	200	549	340	1486	199	644	459	325	110	219	0	0	861	0	772	480	1300	201	283	240	330	185	378	0	293	1696	0	267	0	260	231	0	262	278	256	0	609	593	429	0	204	110	100	0	174	123	63	0	692
OTU_2451	0	0	0	0	351	0	9472	0	0	0	0	0	0	0	0	0	2055	0	0	0	0	0	0	0	0	0	5753	0	0	0	0	132	0	0	0	0	0	0	0	0	0	13114	0	0	1678	0	0	3013	0	0	0	5046	0	0	0	0	0	3078	0	0	0	1453	0	0	0	0	0	0	0	0	0	0
OTU_4091	1092	85	2085	164	227	75	346	542	1457	0	404	0	2036	0	663	0	851	313	1225	0	1381	560	416	453	347	292	218	100	1032	878	638	1004	1025	185	213	434	1523	0	701	71	1115	820	233	236	208	145	850	432	1418	1685	306	83	898	68	1296	510	464	169	464	200	426	528	296	66	225	128	849	1118	553	0	207	0
OTU_1285	0	0	99	0	0	0	0	0	0	0	0	0	0	0	109	0	0	0	0	0	0	0	0	0	0	0	0	0	406	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1207	40	144	690	90	0	63	0	169	40	131	0	291	645	161	84	81	0	196	74	83	83	0	94	106	0	0	72	39	147	0	0	0	54	0	680	111	229	121	64	141	510	0	143	34	102	58	51	105	0	387	40	40	49	172	0	816	0	0	0	54	0	653	40	78	54	96	0	340	0	121	0	66
OTU_129	0	470	150	686	72	466	0	227	612	325	165	149	0	83	99	417	424	310	183	160	62	216	59	249	0	133	111	200	539	0	0	0	268	123	308	514	49	233	198	181	370	41	50	209	56	284	241	395	0	462	0	417	74	245	0	359	0	259	215	370	50	242	0	391	144	85	0	933	83	0	257	189
OTU_2449	0	255	66	0	170	881	86	225	307	448	52	985	0	260	144	0	0	210	0	317	0	163	339	0	113	0	75	0	486	0	130	966	61	49	74	37	228	159	0	874	98	39	380	103	107	60	64	105	662	38	35	57	0	1001	90	243	0	34	228	446	78	0	46	83	0	55	0	1244	96	907	57	353
OTU_436	678	920	0	0	573	834	527	0	0	0	0	964	57	2724	0	0	189	132	0	1967	33	198	0	498	457	145	196	334	0	200	1140	67	309	0	0	1019	56	3422	0	0	0	80	89	867	0	0	108	0	0	0	43	0	0	0	0	0	410	601	0	1251	0	209	0	1665	460	986	0	0	0	0	0	5270
OTU_1414	1040	224	0	98	340	438	377	0	0	0	281	269	768	231	0	88	1009	275	928	405	0	628	189	179	40	0	287	416	246	247	0	974	248	139	0	194	0	400	666	421	0	512	102	219	467	104	0	731	0	85	839	267	0	94	0	0	412	136	0	149	0	210	72	889	0	120	0	0	556	118	240	331
OTU_1340	177	321	224	321	33	375	95	314	32	158	32	456	736	150	36	240	112	296	277	142	26	152	248	146	86	188	350	91	570	231	30	25	183	0	359	701	43	109	505	275	274	134	248	101	233	206	0	421	0	0	316	136	35	421	0	511	46	86	0	218	0	479	0	345	64	197	0	234	44	336	72	692
OTU_1773	267	758	0	116	31	762	49	1006	0	73	0	1781	225	1062	399	124	0	314	107	1010	24	0	95	615	295	565	439	146	250	154	362	182	85	47	365	213	77	500	955	611	517	41	79	857	1386	87	26	330	0	0	312	505	0	212	0	752	100	0	39	95	0	1264	0	410	131	158	0	1250	157	0	165	280
OTU_1482	0	0	0	0	0	0	82	0	0	0	0	0	72	115	0	0	0	0	0	0	0	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23
OTU_1760	271	528	0	177	120	512	225	44	0	86	0	368	1108	176	0	431	39	953	611	170	0	227	0	194	0	417	117	197	0	126	0	117	148	72	0	659	0	182	210	398	0	113	0	145	156	1006	0	694	0	0	139	100	0	335	0	0	136	143	0	454	0	0	0	446	0	412	0	0	242	68	90	538
OTU_2246	213	167	0	195	155	450	144	38	0	276	120	300	75	270	69	348	30	377	508	125	60	273	175	220	102	163	63	162	119	85	89	0	144	101	432	247	1046	99	283	575	142	185	220	142	0	61	109	190	81	0	111	174	27	165	189	150	31	48	47	164	0	202	0	586	71	140	1067	0	0	109	223	483
OTU_1732	0	0	0	0	113	0	0	0	0	56	0	0	26	0	0	0	0	76	69	0	0	0	0	0	0	5234	0	40	0	74	0	0	0	0	0	0	0	37	35	63	0	0	0	0	0	0	0	0	21	67	0	0	0	0	0	0	0	20	0	0	0	20	0	0	0	0	0	0	0	0	0	0
OTU_1342	32	143	68	32	30	41	0	329	0	50	0	33	61	42	0	68	46	97	30	22	0	86	189	33	0	101	126	39	387	19	0	0	60	0	630	123	21	44	248	85	149	30	91	0	192	38	25	305	0	0	66	124	0	171	0	154	19	49	0	122	0	316	0	484	68	134	0	43	53	50	47	33
