otu_id	reference_ID	phylum	class	order	family	genus	species	score	cutoff	abundance	primary_lifestyle	secondary_lifestyle	plant_endophytic_capability	plant_pathogenic_capacity	decay_substrate	decay_type	aquatic_habitat	animal_biotrophic	specific_host	growth_form	fruitbody_type	hymenium_type	ectomycorrhiza_exploration_type	ectomycorrhiza_lineage	primary_photobiont	secondary_photobiont
OTU_845	MN338567	Basidiomycota	Agaricomycetes	Agaricales	Lycoperdaceae	Bovista	Bovista_plumbea	1	0.988	78188	soil_saprotroph	""	""	""	soil	""	non-aquatic	""	""	filamentous_mycelium	gasteroid	closed	""	""	""	
OTU_2212	AF549448	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Exophiala	Exophiala_spinifera	1	0.984	60204	animal_parasite	litter_saprotroph	root_endophyte_dark_septate	root-associated	leaf/fruit/seed,animal_material	""	partly_aquatic	animal_parasite/opportunistic_human_parasite	""	dimorphic_yeast	""	""	""	""	""	
OTU_2451	MW354968	Basidiomycota	Agaricomycetes	Agaricales	Hymenogastraceae	Hebeloma	Hebeloma_pseudo_species_2451	0.9697	0.949	45319	ectomycorrhizal	""	""	""	""	""	non-aquatic	""	""	filamentous_mycelium	agaricoid	gills	short-distance_delicate	/hebeloma-alnicola	""	
OTU_4091	KJ775699	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Talaromyces	Talaromyces_verruculosus	1	0.985	39330	unspecified_saprotroph	""	""	""	leaf/fruit/seed,soil,animal_material	mold	partly_aquatic	opportunistic_human_parasite	""	filamentous_mycelium	""	""	""	""	""	
OTU_1285	JF313675	Basidiomycota	Agaricomycetes	Agaricales	Omphalotaceae	Collybiopsis	Collybiopsis_pseudo_species_1285	0.97895	0.935	34372	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
OTU_1207	HM148029	Ascomycota	Dothideomycetes	Cladosporiales	Cladosporiaceae	Cladosporium	Cladosporium_cladosporioides	1	0.986	32862	litter_saprotroph	plant_pathogen	foliar_endophyte	leaf/fruit/seed_pathogen	wood,leaf/fruit/seed,soil,dung,animal_material	""	partly_aquatic	animal_parasite	""	filamentous_mycelium	perithecium_(hymenium_hidden,_narrow_opening)	closed	""	""	""	
OTU_129	KX033471	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Ampelomyces	Ampelomyces_quisqualis	1	0.992	32120	plant_pathogen	litter_saprotroph	foliar_endophyte	leaf/fruit/seed_pathogen	leaf/fruit/seed	""	non-aquatic	""	Erysiphaceae	filamentous_mycelium	""	""	""	""	""	
OTU_2449	MW354968	Basidiomycota	Agaricomycetes	Agaricales	Hymenogastraceae	Hebeloma	Hebeloma_mesophaeum	1	0.988	31453	ectomycorrhizal	""	""	""	""	""	non-aquatic	""	""	filamentous_mycelium	agaricoid	gills	short-distance_delicate	/hebeloma-alnicola	""	
OTU_436	MG011738	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus_pseudo_species_0436	0.92683	0.7	29678	unspecified_saprotroph	foliar_endophyte	foliar_endophyte	""	leaf/fruit/seed,soil,dung,animal_material	mold	partly_aquatic	animal_parasite/opportunistic_human_parasite	""	filamentous_mycelium	""	""	""	""	""	
OTU_1414	PP073308	Ascomycota	Sordariomycetes	Diaporthales	Diaporthaceae	Diaporthaceae_pseudo_genus_0426	Diaporthaceae_pseudo_species_1414	0.92771	0.904	28550	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
OTU_1391	AF260264	Ascomycota	Sordariomycetes	Diaporthales	Cytosporaceae	Cytospora	Cytospora_variostromatica	0.9916	0.988	27216	plant_pathogen	litter_saprotroph	foliar_endophyte	leaf/fruit/seed_pathogen	leaf/fruit/seed	soft_rot	partly_aquatic	""	""	filamentous_mycelium	perithecium_(hymenium_hidden,_narrow_opening)	closed	""	""	""	
OTU_1773	AF549448	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Exophiala	Exophiala_pseudo_species_1773	0.91176	0.742	23217	animal_parasite	litter_saprotroph	root_endophyte_dark_septate	root-associated	leaf/fruit/seed,animal_material	""	partly_aquatic	animal_parasite/opportunistic_human_parasite	""	dimorphic_yeast	""	""	""	""	""	
OTU_1340	JX966616	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Curvularia	Curvularia_eragrostidis	1	0.983	23206	plant_pathogen	litter_saprotroph	no_endophytic_capacity	leaf/fruit/seed_pathogen	wood,leaf/fruit/seed,roots,algal_material	""	partly_aquatic	opportunistic_human_parasite	""	filamentous_mycelium	perithecium_(hymenium_hidden,_narrow_opening)	closed	""	""	""	
OTU_1482	PP073308	Ascomycota	Sordariomycetes	Diaporthales	Diaporthaceae	Diaporthe	Diaporthe_phaseolorum	1	0.988	21797	plant_pathogen	litter_saprotroph	foliar_endophyte	leaf/fruit/seed_pathogen	leaf/fruit/seed	""	partly_aquatic	""	""	filamentous_mycelium	perithecium_(hymenium_hidden,_narrow_opening)	closed	""	""	""	
OTU_1760	AF549448	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Exophiala	Exophiala_pseudo_species_1760	0.96296	0.742	20251	animal_parasite	litter_saprotroph	root_endophyte_dark_septate	root-associated	leaf/fruit/seed,animal_material	""	partly_aquatic	animal_parasite/opportunistic_human_parasite	""	dimorphic_yeast	""	""	""	""	""	
OTU_2246	KJ160145	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium_oxysporum	0.89286	0.7	19448	plant_pathogen	litter_saprotroph	foliar_endophyte	leaf/fruit/seed_pathogen	leaf/fruit/seed,roots,soil,animal_material	soft_rot	partly_aquatic	opportunistic_human_parasite	""	filamentous_mycelium	""	""	""	""	""	
OTU_1732	AF549448	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Exophiala	Exophiala_pseudo_species_1732	0.96226	0.742	17875	animal_parasite	litter_saprotroph	root_endophyte_dark_septate	root-associated	leaf/fruit/seed,animal_material	""	partly_aquatic	animal_parasite/opportunistic_human_parasite	""	dimorphic_yeast	""	""	""	""	""	
OTU_1342	MT524329	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Curvularia	Curvularia_lunata	1	0.983	17824	plant_pathogen	litter_saprotroph	no_endophytic_capacity	leaf/fruit/seed_pathogen	wood,leaf/fruit/seed,roots,algal_material	""	partly_aquatic	opportunistic_human_parasite	""	filamentous_mycelium	perithecium_(hymenium_hidden,_narrow_opening)	closed	""	""	""	
OTU_3721	OR978100	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Russula	Russula_pseudo_species_3721	0.9557	0.944	17502	ectomycorrhizal	""	""	""	""	""	non-aquatic	""	""	filamentous_mycelium	agaricoid	gills	contact	/russula-lactarius	""	
