	S198	S206	S214	S222	S230	S238	S246	S254	S193	S199	S207	S215	S223	S262	S277	S285	S231	S239	S247	S255	S263	S270	S278	S286	S200	S208	S216	S224	S232	S240	S248	S256	S201	S209	S217	S225	S264	S271	S279	S287	S233	S241	S249	S257	S265	S272	S280	S288	S202	S210	S218	S226	S234	S242	S250	S258	S203	S211	S219	S227	S266	S273	S281	S289	S235	S243	S251	S259	S267	S274	S282	S290
S198	0.0	0.4700987824315363	1.7009886066906534	0.8365889651957973	1.5567078297877819	2.247341703398533	2.178500694904251	2.0597268831994904	1.8291742089379424	2.514649077571191	2.2898507593392283	2.2731429468001942	3.0010773477135793	0.7536187693177392	1.1191090957189291	1.4454970443948947	0.29789513557867126	1.1841232461231324	1.21050210345776	0.5307944982336404	1.6917723716006683	1.9392625524872067	2.819154184098847	2.090807828348453	1.3396612484954051	0.9248068127146674	0.9602594424578631	1.285715809026359	1.5556141938944812	3.2481371224897178	1.1280288558610518	2.7409829238938195	2.206473280449458	2.5358165221959963	2.8265503340834752	2.4349817930567017	1.4796314796722663	1.2078355448726465	1.1557491368960724	0.7430259109181405	2.8032625051119147	3.066605181652099	2.774183437309484	2.8621463954896367	3.2217957010154428	1.1203078849917751	2.244394886757077	2.6650141070885076	0.5541120127134653	0.8660120322713363	2.4466555775374013	0.982893353769794	1.10164195367138	2.1855665509598965	1.939857013621793	2.8246579103025753	2.437425354104926	1.608941635824022	0.7143671084536602	1.8584680917004206	2.082398492129813	1.0618447309954966	0.8973610579657713	1.1794178441373275	0.9870857260485076	1.6682205721531023	0.6797236157691858	1.1426327704623698	2.794172954353767	2.2839710841129155	2.00079076977396	2.2789980815751525
S206	0.4700987824315363	0.0	2.056428712095188	0.42098730715093396	1.5029485891783454	2.512860179740185	2.350630737075737	2.184667222128429	1.694057606890354	2.8525450144025912	2.5209729568358537	2.4341848205912124	3.0877468148538956	0.43425617446631326	0.8989997340301722	1.7918519186252568	0.6764314420877523	0.9189168153573529	1.5167061200821044	0.743585088110127	1.5804379092024088	1.7827433132932724	2.6319495450426693	1.929095489212078	0.9103557808516524	0.6234618135651854	0.6392737605087219	0.9640821306205013	1.905889780849689	3.487191406386319	1.5112083169905155	2.8745106304498256	2.60468845576798	2.8480381253951736	3.0910722728264037	2.5619931745178057	1.0667806533196356	0.9420857699573312	0.7565742464562086	0.8212716029288119	2.512833396026647	2.7394418816932324	2.478788480084244	2.5137738793641766	3.0472420066032484	1.2269696175307439	2.1213132826195595	2.486539383666541	0.9079681570879521	0.6031021002515293	2.0661854738726384	0.6201446581825658	1.17353871679754	2.138276214656039	2.062516087202063	2.804880309385974	2.26925221669779	1.6882391579771763	1.1127551287076622	1.9176082919528195	1.769672003389708	0.9224730013382509	0.6154387955239812	0.9211757092529974	0.9113482287310795	1.6036124715179316	0.32905569259652145	1.5700356377919233	2.9622407105322375	2.426442549672377	2.2549656717240683	2.4351127469185445
S214	1.7009886066906534	2.056428712095188	0.0	2.43497241591704	2.707542934871334	2.9965467288111705	3.199252719047857	3.2371725696859026	3.4122879550613163	2.696759341978002	3.1258987388568573	3.2682697889935555	4.086029330791125	2.4364146401387234	2.7269483817821794	0.269803534567954	1.7954280546424963	2.8850865974904463	0.6229806754978114	2.0707761945484693	3.2363311129643035	3.5441807939123597	4.390586549430839	3.615662643171207	2.9602900712343376	2.6143626227350256	2.29100761196896	2.980184449305446	2.133997316608237	3.8421652413546066	1.9343266928056773	3.795187983134218	1.987612570947867	2.929956984172753	3.3964758716635184	3.5242844043855133	3.122173021641247	2.9035877039687303	2.7937788897800333	2.3235839590678125	4.423654746080619	4.6722047213980185	4.391042935793124	4.476385449766023	4.709354798636323	2.5142243430670477	3.7756503208247163	4.232394479888769	1.3174875313228742	2.56555455137067	4.091536847015689	2.618560739005587	2.6275601541894913	3.6580297135976414	3.1767799174924227	4.198624413066454	4.010601886826127	2.993052431126679	1.1724699562726	3.19927742535458	3.7707631145279183	2.7385273855330876	2.5939947592879684	2.8803534083880935	2.6252876449655926	3.2446844304523323	2.2524863460975486	0.6993492156763316	3.7151523019618735	3.3612386569160497	2.7949229661778183	3.3352870054381483
S222	0.8365889651957973	0.42098730715093396	2.43497241591704	0.0	1.696886900366709	2.725698750612149	2.505642036828597	2.295436164077404	1.6134859686614342	3.1673683478175643	2.7150082075370876	2.595518812415342	3.180508116586733	0.2845542121967057	0.8966577620829633	2.1747477848222676	0.9758177562394046	0.6898357868294619	1.9141387521308266	0.9648151600345777	1.551213483873702	1.669144447714388	2.4930028802027056	1.8705181346524105	0.5518793913039106	0.37930013631868026	0.49209463560977496	0.6944635249512185	2.2067954113624646	3.6975389285242573	1.792416788908673	2.981541525747734	2.973734973030247	3.1242375997937217	3.3209188121366977	2.6793135597370976	0.7336833110212139	0.6678905854344946	0.5361286838796586	0.9552442856247629	2.3089017892096506	2.519829032448292	2.2762053093566124	2.277477184975374	2.9500562677639053	1.380988937840555	2.047837601658593	2.3583337700924374	1.2164223289259473	0.45607467967681686	1.7782211816147506	0.23467563550338386	1.213364127390505	2.1041970184633065	2.1538628154667006	2.784811947834652	2.148929358692141	1.7499593152382331	1.5225789764904587	1.9822642519051161	1.4959762667155165	0.8346172792116748	0.4221778380671218	0.6966162418349967	0.9196467788888781	1.5318942630606465	0.21154532049723596	1.9552930506698962	3.110193522419809	2.557158058939848	2.483066116427693	2.5704394008924316
S230	1.5567078297877819	1.5029485891783454	2.707542934871334	1.696886900366709	0.0	1.8708715377330591	1.5815792324962537	1.495621104073679	1.3136827111940979	2.156358835657266	1.7904047552469842	1.5523852205051683	2.0534545261169983	1.5285746134665046	0.9568092711643669	2.4695042021462577	1.5339916267988871	1.5482986639564071	2.146671782396555	1.3783790983587603	1.1028751123147225	1.445058861726125	1.983342865337239	1.2083654629865044	1.7293320907411218	1.5925005267525243	2.093298514821444	1.5542229908772887	1.5890499228829258	2.5327093181522957	1.6466636451212524	2.0122596614261634	2.232790987767598	2.1179155421447287	2.2405146365014876	1.7026513048815777	1.6974761123508182	1.6983067407296657	1.39705506605681	1.2772165345171422	2.0373625464407557	2.2663085485887575	2.002840655427231	2.161699401772253	2.137116349718474	1.0405563730040162	1.4875873141749791	1.8458065930972605	2.0597610690883834	1.4724376263052041	2.057827759689272	1.775959958667987	1.475118582925732	1.5450148265419268	1.5332064737427824	1.9998224685810204	1.6887574308904252	1.3761666693057042	1.6188801145404548	1.3320375733845031	1.8461446351797168	1.4029277679454628	1.526461333970911	1.5505549954497728	1.2368505191871846	1.4972572841643732	1.7563295281676188	2.1889976887439375	2.036200709257279	1.6139539806370367	1.579201159132977	1.6596221435407472
S238	2.247341703398533	2.512860179740185	2.9965467288111705	2.725698750612149	1.8708715377330591	0.0	0.5362062053208634	0.8114570166540749	1.9171522653639093	0.9648268081776333	0.2082724147372208	0.5980833341830828	1.2929526924381085	2.4556035966800165	2.117379024006278	2.8564333198681937	1.9926849711143189	2.392677972084547	2.7336819411527613	1.8240073130377819	1.7877750226130507	2.039546619230181	2.5212610898621755	2.038331933247661	2.9112375700554667	2.479858348018003	3.0903450033993307	2.5286858196543354	0.8673482037648993	1.0504407263259892	1.2449453106631057	0.9266725577866193	1.484606823913332	0.6386341869283131	0.645296989485381	0.8061092526729059	2.8897781370469064	2.486517978833365	2.6211585971501243	1.7780211874537533	3.0060620581760666	3.3722851854299445	3.008726280509954	3.34695660183573	2.682415205123033	1.3696781354578245	1.949836255658005	2.391233876717956	2.532243357655786	2.348386097465016	3.270093309967921	2.7222053526942007	1.647549569145876	1.634624008351968	0.9075288666685747	1.7366131074375502	2.2369655857818915	1.2191848520660493	2.0989092441352577	1.150065082316665	2.787909001891197	2.071674165898824	2.407828171658016	2.3793185639053953	1.894163572557793	1.7658625321786792	2.688424946225952	2.3664581602389534	0.7904382111941474	0.6943619504617475	0.30665640317299403	0.6287632882955912
S246	2.178500694904251	2.350630737075737	3.199252719047857	2.505642036828597	1.5815792324962537	0.5362062053208634	0.0	0.3202826179903581	1.453142999032332	1.3998488838837222	0.3597284786933222	0.17702032762664488	0.9296532858484033	2.228333535814652	1.7905946510610515	3.022818699586515	1.937882419520241	2.0810024771230986	2.844799387111791	1.709004229034738	1.3383070353575781	1.5674862974088057	1.9894363497245329	1.536810684114808	2.5987501873616856	2.224771583540121	2.923176412436229	2.19685656407428	1.1138669940150783	1.2437595902545295	1.3751050317912639	0.6004290476079176	1.8895131502486104	1.0942877363595582	0.9664230553179526	0.3388428882984892	2.5459323765623605	2.18819834485431	2.311186948888722	1.5905603091804226	2.4873641238262176	2.853484505915264	2.4920348644062718	2.842527516438483	2.150132109409659	1.1312395980543513	1.4321272770077678	1.8614546226546573	2.559509239488671	2.094041081984164	2.805869382600329	2.4789209604969726	1.4236090025441703	1.1262270570466901	0.4984587696681577	1.2341949367739127	1.715876173373564	0.8648869822932278	2.168929830333075	0.6895485098186149	2.341947245411675	1.781783233644393	2.1517132181840037	2.0691732608065148	1.616647059487637	1.3653309871281012	2.508346202705183	2.543338739306917	0.6211601873174907	0.18298469931203679	0.49787238357726127	0.1440516009468784
S254	2.0597268831994904	2.184667222128429	3.2371725696859026	2.295436164077404	1.495621104073679	0.8114570166540749	0.3202826179903581	0.0	1.1527240204709428	1.686280499062861	0.6629765047000384	0.4283772795209642	0.9878397404008513	2.015052204062266	1.5675624651364914	3.0433673013418088	1.8219791960324287	1.8189783266193986	2.8482103814804574	1.5639588344760134	1.0579056491959398	1.2609658817659932	1.7211703563199583	1.2729912055830663	2.348404391728549	1.9911568506973716	2.7313416711652194	1.9314283590197086	1.2394142585530696	1.5379105824555848	1.3804771940444733	0.6934963803519638	2.107013395721356	1.397835000552902	1.2829509766371876	0.4032911328418922	2.2838514156337757	1.924637163825546	2.0753959331455447	1.407919724539093	2.2094378419813845	2.584841214467117	2.215588250191012	2.5668775184134374	1.9419487373648257	0.9610052868257004	1.144119343275046	1.5876163018374787	2.4744858010627757	1.8657073145699399	2.516148424289145	2.2479775383623473	1.2012247995195826	0.8236000065064685	0.22110477537472537	1.0399352487709739	1.4285337204818307	0.5940567570651466	2.1538342169958393	0.38371862387791533	2.037693303965013	1.5317920313076412	1.9201071845416295	1.8071520784198873	1.3849286838479493	1.0579732962763635	2.314742908402019	2.564229520256019	0.8390220130403588	0.2854816929670406	0.7345373241966137	0.3007251299622735
S193	1.8291742089379424	1.694057606890354	3.4122879550613163	1.6134859686614342	1.3136827111940979	1.9171522653639093	1.453142999032332	1.1527240204709428	0.0	2.6764990971118445	1.7941038428269354	1.5073867403020629	1.7697662032103942	1.3771393918483406	0.8553280630749702	3.166269427697647	1.6962361781114619	0.9882283215283055	2.8985526353520834	1.404233706641612	0.22368620206241596	0.15441875951433637	1.006792879481715	0.4409674850296928	1.428239221823654	1.277421387166863	2.1023084005469252	1.0180231267660296	1.9637596460960922	2.6480250383820914	1.832238066574055	1.6814733065056202	2.9041389924210943	2.464168074852999	2.41238218613847	1.434940343390118	1.2982246952425398	1.1069482776363981	1.2224035626682046	1.1441433147987554	1.214775084335657	1.5873870980523637	1.2114717460785878	1.5038487576056025	1.460141686492473	0.9689178808533677	0.4435680061167122	0.8502976310182748	2.3497403457393102	1.1927049348006418	1.3710693756465715	1.5075139108363067	0.9838328748637126	0.5486246230912131	1.0590433029262465	1.2019037303089788	0.6166790791648323	0.7900173778492321	2.2462186321561086	0.7775295651926452	0.8924083776031035	0.8780467694022098	1.2242022033229096	0.9842469296964643	0.8619157893134323	0.42023574738194147	1.7279307912788155	2.7676565544308773	1.9039207026601574	1.3917972197643222	1.7463126701199074	1.4366392939687143
S199	2.514649077571191	2.8525450144025912	2.696759341978002	3.1673683478175643	2.156358835657266	0.9648268081776333	1.3998488838837222	1.686280499062861	2.6764990971118445	0.0	1.095730964114556	1.378302196925572	1.9992921646770132	2.936238896392353	2.644802799536678	2.619991409284197	2.316980981681805	3.0107093098887003	2.549397672978783	2.2550202302220153	2.5009533772907564	2.817797203479093	3.321995170016082	2.741924581549204	3.443251514798366	3.0156930849922565	3.455523691228643	3.137642922943579	1.0020135345694885	1.2360785926472535	1.5379487581798075	1.753217116724177	0.7764611422747129	0.3872862210624065	0.8608533330206023	1.6494997497798798	3.457582683090495	3.110163143659961	3.1296680178087497	2.298860909424636	3.739639905537826	4.071586241194368	3.7318998146568974	4.031532285341603	3.4145798747183926	1.9498776498972503	2.7439472511846077	3.1888192951446745	2.68574153368748	2.88122215144106	3.9452527091622684	3.2292705486359035	2.3117072510638015	2.4837111309867037	1.7968797935567962	2.5961519989649986	3.035750931692874	2.023135636021265	2.088306822692129	1.977457590447771	3.518250602304152	2.6964416881732873	2.9440720048630507	2.9995208322643507	2.492749115704574	2.566579804234132	3.0954480884562114	2.2188653291376843	1.4970445694836363	1.5538831289112183	0.9696453039406562	1.5124023719924389
