	S16	S24	S32	S40	S48	S56	S64	S8	S15	S23	S31	S7	S72	S80	S88	S96	S39	S47	S55	S63	S71	S79	S87	S95	S14	S22	S30	S38	S46	S54	S6	S62	S13	S21	S29	S5	S70	S78	S86	S94	S37	S45	S53	S61	S69	S77	S85	S93	S196	S204	S212	S220	S228	S236	S244	S252	S197	S205	S213	S221	S260	S268	S275	S283	S229	S237	S245	S253	S261	S269	S276	S284
S16	0.0	1.068041067141515	1.6349060220955511	1.6678812875587483	0.9973257972269196	2.6417590502352875	1.2574572195535332	0.6284663439321571	1.8876938139499415	1.1246546882387116	1.4563240788909388	1.6666305274570254	2.744898689854325	2.633208063299089	2.542485432809148	2.3433970691318176	0.4658171140345059	1.2158171079870992	1.1134590513001625	1.3728378868455062	0.5075103490517653	0.3934333804447265	0.7178456665913661	1.1387363148550842	0.5591065495180766	0.7218844509859419	1.4421520562589738	0.47992157673651864	0.8087391668225132	2.0543145263496845	0.14362757728706077	1.018485544350885	2.1530020273570276	2.3174803044941887	0.8676654622374677	1.6912474421111752	1.7143221339863979	2.4166251600217366	1.839864241250129	1.6759159331034073	0.4978736804315038	1.2303332995433547	0.48097635735616473	1.2327931534196912	1.56631889690439	1.1898787355833838	1.878623621081939	0.980249403808397	0.7999199377350904	2.1112378051938085	0.6395167970256944	0.37997808960906226	0.9598138969547833	1.187061395291611	0.9770181184620234	0.6626484238485322	2.1399823551937707	2.0736383604176156	1.6429158448330312	2.2610529235800647	2.265310689428533	2.0313679761259036	1.0468616957283057	2.481806702781878	0.7786820775601038	1.367694084070028	2.091064534293738	1.7617128981050014	1.0575286606643777	1.6412215076457033	1.8074690180863058	1.6996885114545508
S24	1.068041067141515	0.0	0.784150718628831	0.6205839624839997	0.40928635704996613	2.7009928021638223	0.9496338541104852	0.7589439912961493	1.7191320241344261	1.4191459408737888	0.6069358971618553	1.5290826892771807	2.4047041901808535	2.0656891298681628	1.5436802205912723	2.252110036395434	1.1936113255524436	1.475224704215256	1.2551807426765724	0.42510149049908486	1.4293401130260808	1.4250800607419418	0.6648570159827369	0.49921511374821975	1.0183300301034135	0.42461721038135714	0.6302769410492505	1.385788996167012	0.8896530196639167	3.0679906824257643	1.062415326739795	1.5477230186657123	3.1553277643668856	3.289569096535638	1.8475346578586866	2.6384909130941177	0.6677783447764983	2.340989612437058	1.4540938952109443	1.2069926009273197	1.4389344798099721	1.0323435456090675	1.0747834692416136	1.4516881645760076	2.5268614996287573	2.101834002717031	0.8653102480720025	1.8092136782764485	1.4902962764598184	3.053111099759833	1.664316214454981	0.861364773850292	1.9856285428813418	1.256188791005564	0.6944329503022377	1.6677214130747449	2.419339133040553	1.8412692355027243	0.6793870146075657	1.527098716132107	1.9837546553171905	2.678464628326228	1.1023243606573248	3.2218315821259664	1.5359930367288108	1.8507360919811948	2.561711091129388	2.184160451800613	1.2004514094906478	0.9423332367072558	1.9337235883584771	0.9178066785928026
S32	1.6349060220955511	0.784150718628831	0.0	0.8685705079404591	0.6445092639832999	2.258406921936099	0.70032343714911	1.5003945157070817	2.418947350119661	2.171724469123986	1.18267859424664	2.266596549276759	1.741368635370241	1.3152849635916322	0.9481694472084182	1.8033111888140492	1.8726673780719874	1.404740789987294	2.023479426907084	0.9938887701241348	1.8602499754583892	1.9695001753850412	1.4004159568071846	1.2295300570184455	1.7495380154922595	1.0317415352123251	1.2115609687580848	1.9804236658393615	1.0305586603728536	3.4753956020354817	1.6147812153534034	1.650477784043059	3.526112420399894	3.8297403545850037	2.353775449610832	3.1090095597051564	0.8332913907120199	1.8474587305301273	0.8784805838094686	1.8856779304689513	1.9289238474805763	1.783323782572219	1.4571853213819304	2.187148619253929	2.860630181703787	2.708851895342227	1.103382351398342	2.432942605382586	2.181610995332126	3.3194904612195484	2.127338485513817	1.5100802118585894	2.4687877025323557	1.1348578322234628	1.4385998376040365	2.1336814890455713	2.1546255831021064	1.3006817151609054	0.23441680482069288	0.7452035195987016	1.3886267301523298	2.66685426990742	1.0558392303709718	3.247551955037838	1.8028860575048313	1.834005037671691	2.4259877316907814	2.0601801624292353	1.1684659137885471	0.2791578910343373	1.6361287592758464	0.1767379300053095
S40	1.6678812875587483	0.6205839624839997	0.8685705079404591	0.0	0.9361007151092803	3.085254592014258	1.3799421072276001	1.239210405250943	1.741798293668909	1.7480377274378842	0.4730221425958005	1.596454723685766	2.603660144676398	2.1403737427358727	1.1940082145440372	2.5891465506900126	1.7186038324989563	2.0121472919992462	1.5458946930687256	0.364725003013175	2.040119844112544	2.0192683692496516	1.1315747422582911	0.7127846366672326	1.501877735064696	1.0072743794867967	0.5389366649028273	1.9498143745247074	1.4633934351179672	3.66852560823493	1.6640233103019513	2.13397552020965	3.7609676188249765	3.833718985230408	2.431821628755163	3.2050763045382267	0.16542435476336148	2.6853137679255696	1.7331417101533326	1.1214563334307415	2.0364196833166144	1.2145824967924495	1.682586642619569	1.7475227954118693	3.136988757596831	2.6293885293098507	0.28182903366361084	2.3213668238848237	1.9673585148866644	3.6654943486358316	2.273886370032298	1.4227941099776147	2.583280094384818	1.7661599523951932	1.0170185737168604	2.2733019247942288	2.901144540014971	2.1522226444930914	0.6475920997504439	1.5285881096882779	2.253129125622488	3.2538116492560043	1.6317443309997994	3.809857170891697	2.148008274404755	2.414763976392288	3.0960599642728663	2.7190588144621923	1.7385240034103364	1.1224419774297318	2.391463537877962	1.0225388282199546
S48	0.9973257972269196	0.40928635704996613	0.6445092639832999	0.9361007151092803	0.0	2.295074068889608	0.5645779582903236	0.916820527344762	2.0358798832166505	1.618414053967064	0.9869304356729323	1.857280077910154	2.053482350753157	1.7815213047094842	1.5583606546317563	1.8624819551050522	1.2393604667859084	1.0846817389166863	1.498963070117544	0.8075136865751813	1.2465522663105215	1.330076172145084	0.8371097286226152	0.8538399071051647	1.1423686681995313	0.4847452890147226	0.994323703657323	1.3385760074005226	0.5304500979142521	2.8862196252539976	0.9720228029056734	1.2027419179575332	2.9525384299578668	3.2047379332910952	1.7264206091599676	2.5028893727394887	0.9609745587124844	1.9426909032124626	1.0962048340838586	1.5917678802054762	1.3004620511016842	1.3397552824599885	0.8512837209189095	1.6541421199886388	2.299320511349067	2.071919229886517	1.1934535262058097	1.8013279736815744	1.5581623661524167	2.795507344646106	1.5083531505331813	0.8764576904222461	1.8464555515967334	0.8547160022862064	0.9581203725268486	1.5130729105523497	2.0153870171648607	1.4596133675336938	0.6640214447711219	1.3161441274018209	1.614838182465665	2.317737515372509	0.7123061885982368	2.875303473156435	1.2590455540757541	1.4794745509014493	2.1723779087647346	1.794742705549014	0.8090827369242429	0.6842857040687036	1.5264839951035407	0.7337820137800786
S56	2.6417590502352875	2.7009928021638223	2.258406921936099	3.085254592014258	2.295074068889608	0.0	1.7774594212306678	2.997519859421151	4.1944584731446835	3.6064069208154597	3.245351520052881	4.053180824106354	1.0010770464104721	1.5610575434205696	2.8169425664321235	0.7565539201239163	3.0180282624135524	1.4266352996268246	3.586812717529701	3.068636926578536	2.4044510626090263	2.7093226929612664	2.957795808761643	3.1245607761624763	3.1034578672340905	2.627090284013983	3.2408625662804806	2.8507191909437735	1.9571320381089445	3.1941917925530285	2.5936385875685395	1.6809065859134196	3.1163076501385616	3.928017447598663	2.8024304417525316	3.182634215066972	3.069848105762733	0.43938225230663835	1.3933904890715694	3.87025158164573	2.5675048370745763	3.536984501265183	2.2435645827752126	3.63937527239472	2.578800604173845	3.3342642888186145	3.3250618652744075	3.2287125702433594	3.2746467693527093	2.6595789777926937	2.5742192591701882	2.765655016010991	2.788159211962096	1.5201098867938687	3.146287110922414	2.583204164955609	0.6648017029210215	0.9773184163414467	2.4766602215475984	1.959420485291787	0.9693164517028524	1.5034830431311614	1.6954228612209268	1.9247973528292783	2.0292731741053784	1.386532680604904	1.0534634532741018	1.0749190440860141	1.627740416557012	1.9898306810751327	0.8425386675949368	2.143078817530609
S64	1.2574572195535332	0.9496338541104852	0.70032343714911	1.3799421072276001	0.5645779582903236	1.7774594212306678	0.0	1.404352221543238	2.592672617993608	2.1088695426491104	1.5305610465342263	2.410660897087172	1.561956944723034	1.3844717136767044	1.6094651290981392	1.4395705910598486	1.6159925257976144	0.7285989878334462	2.013582152725996	1.3398765354628455	1.3622658337964308	1.539440274664168	1.3494762883815274	1.4171768728068195	1.5824239719823796	0.9095594623908967	1.5436146315676147	1.623304020582943	0.48414945342047455	2.8991403339107205	1.2381019120734578	0.9995170929698813	2.9301255576499976	3.36323970106319	1.8901287723132412	2.621766434838517	1.361771176490696	1.4295806782068163	0.6048707096466178	2.150026602928545	1.4796102408563867	1.8911681614233444	0.9990104716529158	2.15474703086598	2.261004605054573	2.333701858168574	1.6469160124770514	2.108432900582079	1.945114698267386	2.6826078514160216	1.6148316195599437	1.2769385873840735	1.9615239130557784	0.4593417339541433	1.506681384474483	1.63242925046027	1.5327260908599256	0.9333768780247963	0.8791121374836918	1.061879769592429	1.0952966715130017	1.9839591764899156	0.37977593606475013	2.5631556260280433	1.2053497379887566	1.1500673223803104	1.766588928440661	1.3899622497823234	0.5111812552172115	0.5533644749828036	1.0285266247311184	0.6513097645938075
S8	0.6284663439321571	0.7589439912961493	1.5003945157070817	1.239210405250943	0.916820527344762	2.997519859421151	1.404352221543238	0.0	1.3146008461252134	0.7210572863616216	0.910811915415235	1.101704098068692	2.9241623916274113	2.6914801832750603	2.2852455545641224	2.573407227102695	0.4848839296162104	1.6080970138331245	0.6165333453274916	0.8898991228712653	1.0252391075682727	0.8832629912177198	0.1451957654365291	0.5784619990619138	0.27425634193352016	0.6275015509024431	0.8837896541741455	0.7603908348382902	1.061953709040338	2.526088765503751	0.6146242623842386	1.4938612466442702	2.6447500546199127	2.6179812648694414	1.274075215428497	2.042630638037786	1.3243682378069512	2.7048105802136475	1.979533261346995	1.0700924047757594	0.9478613166364062	0.6184971725142803	0.8505225837846154	0.7937668727622911	2.0856502065862172	1.4049792700587116	1.3896524460776192	1.1076206837401161	0.7448598523430985	2.6491820211824804	1.1875601557724549	0.3069744236381769	1.4360318710338342	1.4954417665655853	0.3602223948766836	1.1769943169387551	2.5852515932804394	2.2948428793237943	1.418868917472664	2.2182825610976846	2.4708244365041616	2.582170403677211	1.3437996325407413	3.052532314395475	1.3088638391548202	1.859249925684005	2.5899833671391668	2.244031997669995	1.379656905242754	1.587623038995396	2.1797685771011635	1.620588006971725
S15	1.8876938139499415	1.7191320241344261	2.418947350119661	1.741798293668909	2.0358798832166505	4.1944584731446835	2.592672617993608	1.3146008461252134	0.0	0.8693355756366915	1.283786820769989	0.32037722514374134	4.010353566625533	3.676589630134237	2.865918519791458	3.6562732193886993	1.5063700191476563	2.868729394333534	0.7957455539778647	1.4622571895206211	2.199481235485003	1.997365503981114	1.2999626586168957	1.221312693909536	1.3351776814602336	1.8238714338172597	1.234418051638415	1.7770828196655144	2.326333464221698	3.344964158392879	1.8645695337862396	2.748535509384025	3.5024824188013257	3.0812728440257557	2.2097389428340635	2.7371821769710643	1.8714400059501204	3.869840688677447	3.0999745476128404	0.7248350118154022	2.059761339957648	0.730022586715453	2.0951819161899916	0.7742149400181322	3.0796625528455004	2.009686669368052	1.6586469887017539	1.745566181231697	1.4066510750667984	3.6429290937352565	2.2996843509133154	1.5696733823634197	2.404354459519376	2.7429596838586425	1.0921411543282171	2.2644594684523733	3.836789814071241	3.4505283817325356	2.237500251363725	3.134373332387788	3.607571771897925	3.798651249505355	2.60533196913858	4.225219692190442	2.5369957139976163	3.1211927433900293	3.8245730583494386	3.497340293961466	2.633742417047193	2.5752644679941357	3.4188648700286697	2.5829352810851915
S23	1.1246546882387116	1.4191459408737888	2.171724469123986	1.7480377274378842	1.618414053967064	3.6064069208154597	2.1088695426491104	0.7210572863616216	0.8693355756366915	0.0	1.3059444140527683	0.7149378929487186	3.593069941093607	3.3688934352856093	2.8701584091688486	3.1556951052203086	0.6848287933604591	2.2178309992499803	0.2384815878961182	1.3883077597576912	1.394140015325527	1.1583223270534495	0.783394162716063	1.041333720733222	0.5944985145944763	1.3383243231989637	1.2574907520025345	0.9379655163064536	1.7324652470490731	2.5126316957085257	1.102242617194207	2.0270457248225022	2.6669770209867254	2.3500220138176418	1.3607096393199483	1.9438397482899674	1.8590834627973782	3.336785727006036	2.669953231870423	1.0515934471248132	1.2409008019573085	0.5852937451684213	1.386474091515118	0.171781025783772	2.2364683290834497	1.1932807873452547	1.8044019817456287	0.9193331888175292	0.544175997391866	2.8012242866452444	1.452742753146675	0.8746718192855131	1.543990878534766	2.148288933308993	0.7576113313723506	1.419819073458192	3.164078818000181	2.9679226614892116	2.0582999351605147	2.8934914331238497	3.14835395427181	3.013814971573661	2.0135060132061455	3.4097311246313566	1.7631094033782604	2.398785776720604	3.0936346646340507	2.78474070454095	2.0202404783670116	2.265955924606387	2.8022738523010817	2.3074813775298177
