	S1	S10	S103	S104	S11	S111	S112	S119	S12	S120	S127	S128	S136	S143	S144	S151	S152	S159	S160	S167	S168	S17	S175	S176	S18	S183	S184	S191	S192	S2	S20	S25	S26	S27	S28	S3	S33	S34	S35	S36	S4	S41	S42	S44	S49	S50	S51	S52	S57	S58	S59	S60	S65	S66	S67	S68	S73	S74	S75	S76	S81	S82	S83	S84	S89	S9	S90	S91	S92
S1	0.0	1.7604728430601557	1.485701132364452	2.927255665930159	0.7848378659022143	1.135820576033374	2.965879705270989	2.1155918038488277	2.1524004324944848	3.069227642316595	1.8124192131454062	2.9621922689826086	0.8966004683296899	3.3640142419958035	0.7154739780737065	2.5693433376196158	1.246725433730547	2.118432005087811	0.9190326953526661	1.6076430589110842	1.1281036996842162	1.4906426339506431	2.313642607136948	1.568138795803379	3.127344814193256	1.3986723576436013	1.750620238644988	2.48945665047322	1.4231106838398637	2.0439455509081443	0.9729472618067626	1.6326555292209126	2.4213076919342607	0.46149803395284233	1.5004856546838399	2.1046119796453926	2.206759285058391	0.931795545325899	1.7973594892800433	2.69135324666556	1.415475728940291	2.808486286846941	1.2646344475194151	2.396395532791944	3.5327641333874626	0.49750343069504266	2.4790385942907553	1.735718734209072	3.2871928017969982	0.6210654265548123	2.2015806587172007	2.594414598893905	2.1366149414743467	2.083302841416774	0.570750389423519	2.562817794096449	1.7281694873906674	1.5101935637069863	1.2090052567348029	1.7318632231009274	1.2898154409703837	1.9894420224241807	0.3821009906424824	2.235827692347159	2.5322407286400237	1.0236158557715798	0.9216085980805016	2.040306825194136	2.4358830392349256
S10	1.7604728430601557	0.0	0.808606450008217	2.4745931730103203	2.288866858306387	1.8668548761973225	1.8812701622723902	1.6091690524514681	0.8895861617862577	1.4536412384398245	1.3172871471688625	1.215672573868772	1.9829726882577887	2.085637854797885	1.42240381953394	0.9772181606543037	2.2797534316830586	0.4637147525094287	2.4991765954880543	1.9574123254712885	1.8751782434330737	1.8970050952805046	2.5981222225872216	2.193134673704009	1.4353442239128968	1.515362102769287	2.3854882016532524	2.4989022827909206	0.9740091387610164	1.0631241611577804	1.5616539968008372	2.09169012749107	0.754022158232232	1.3628950574647054	1.201085959076992	1.4868210679933056	0.5704159830723626	1.8590999435829783	0.3160167215278972	2.266629395865018	1.8547912200058527	1.207884209327069	1.7585454113139873	1.6007744398677841	2.1136786377855437	1.7598990392123781	1.0496460744268818	1.718113921555838	1.8101593721915588	2.2887821727457824	0.9583219671095025	2.2439088815116635	2.237704426167664	2.05900766997181	2.1924530158822155	1.217140872755411	2.9405430386589675	1.5995805382588426	2.7503708396023305	0.9729655693162902	1.9285572050537088	1.4613946402151237	1.9776677624638752	1.3461026398738716	2.721064435707507	1.325910946270719	1.9077031899457593	2.813469981649792	0.8763941767940316
S103	1.485701132364452	0.808606450008217	0.0	1.807059596178306	1.7994980239217742	1.2062051816595656	1.5262466972610313	0.902113520312024	1.4854003030725604	1.6742993566935591	0.5736322955590777	1.689937721681631	1.3541004867972568	1.8924066029577722	1.0699872951639444	1.6911991089494574	1.580117863015465	1.0083904585364902	1.987714125433888	1.1570227950416996	2.063813986650667	1.1065291117080738	1.830984334806358	2.4234564169269817	1.7605342554922159	1.3023752712738719	2.562125814648684	1.7275381068467581	1.4707379910479577	1.7492798750150156	1.1088110773012878	1.3271217269551476	1.3242358140526027	1.132282721009314	1.5927481794595977	0.8711490230384251	1.2794957211928684	1.2007950034778165	1.0209918228196675	1.581998904872094	2.0562157229417295	1.3967449634319613	1.0934696652239186	1.0346199373286455	2.0471749262166568	1.3137303278370296	1.2408579725514082	0.9625293901827646	1.8241318081910183	2.0844769209862446	1.6144238264292936	1.5488742317981554	1.4442834558692343	2.4686090829895773	1.9372330769676163	1.428805970231621	2.2617967503532905	1.7582122039488965	2.181930557021549	1.4958219201825778	1.2278215624903823	1.988251557453413	1.747096914565782	1.999896516609901	1.9226247383089055	0.9859103016593568	1.9224729460556245	2.032267680727823	1.5482253067070484
S104	2.927255665930159	2.4745931730103203	1.807059596178306	0.0	2.798580170153796	2.0030382379729814	1.0970924187410873	0.9411449381632594	2.9910998379489038	2.2217163393079344	1.2828695706384894	2.6221746392189647	2.2393501417258745	1.502076867384819	2.4866560486001785	3.081744011793654	2.1244316366141605	2.44810045659665	2.902362537792354	1.4144034936225227	3.765025948864802	1.5171805422309468	1.2778889220153453	4.077353397390801	2.420947627837885	2.5320693379007433	4.118603671451804	0.7772678903841044	3.2733651221612567	3.44098513752614	2.311984548496314	1.5489998994235326	2.605174094463817	2.6972623430975107	3.2973392348863877	1.1428648002142752	2.7606166470490203	2.1078774644326357	2.6838088100663344	0.27313732715840133	3.674693334102765	2.07322666937099	1.877151407799093	0.8966072553522573	1.8106299335040241	2.5637921453030406	2.179765684320113	1.3013209673694799	1.8984956902812702	3.4743658494525302	3.1630141031686865	0.5040301301680714	0.9663539144828319	4.110982258243789	3.274357241146419	2.3436101763334087	2.546128975257466	3.275618164074697	2.9135950553017658	3.1782398977281083	1.8639309341616679	3.6524701661883396	3.158950034586784	3.646342357007298	0.9780862254317928	2.3614112585956777	3.490720146134546	1.8293015123842433	2.9456863945861307
S11	0.7848378659022143	2.288866858306387	1.7994980239217742	2.798580170153796	0.0	0.8378974249387907	3.11621335401114	2.1763974895461047	2.6163442195801037	3.394799339547552	1.9582260745961917	3.4209321586543084	0.5907462058873373	3.563019278652249	0.9256298347635026	3.081841086616323	0.7930738888383887	2.6513871414510466	0.28478313528267724	1.4157429752377266	1.7218747348788734	1.3148625655681854	1.8869397592898827	2.005233989510835	3.5137352252406076	1.4478048900779041	2.0390773258375487	2.193939422121269	2.1126608916790253	2.6388968184679618	0.939146925158945	1.2889824565818244	2.865484772923548	0.9989373134773186	2.0288167558807646	2.1238149121250127	2.711484736267626	0.7945636000663767	2.3282388865301122	2.564765725949151	1.8196618997586813	3.1510693343793323	1.0367103761886594	2.467710472602102	3.7569465400192117	0.5292147469172416	2.7682144345806114	1.595936205409111	3.5260134217165464	0.8804649612368	2.705200225037579	2.4239067924858966	1.8744262143400392	2.525325591709206	0.6724876048359417	2.8266153287911897	0.9947924644698882	1.8127450477189804	0.630007817883755	2.259312880011352	0.9663338779747204	2.5056549106634565	0.7295398292474613	2.790601345014223	2.209499282955666	1.1646982752666568	1.318345517677441	1.4968141041860983	2.9201614673917184
S111	1.135820576033374	1.8668548761973225	1.2062051816595656	2.0030382379729814	0.8378974249387907	0.0	2.34349029800319	1.4203697096532848	2.250083506018567	2.7131522547660682	1.2500424565184767	2.8435180666028894	0.42546865530319317	2.797241767167096	0.748371232377582	2.6618646968643813	0.5863004818081752	2.1843186221419932	1.023915328808925	0.7263268768777483	2.054591035036231	0.6377160666891116	1.1952813968076499	2.3384213758261736	2.868793826271676	1.1028373483564744	2.3573016554191146	1.4391994515930462	2.0552768450706105	2.4560305096061392	0.5577721500733376	0.5377114200792515	2.3474664527777582	1.016905006626134	1.9580960609006381	1.3112489285307851	2.275563230312995	0.49678105498722497	1.9507363865170224	1.7555680325421683	2.008577564580186	2.481274237491617	0.2257841690373776	1.669926233753007	2.991594778384114	0.6571818551066609	2.1295180345269404	0.7611349028731639	2.7763487651149346	1.5501342818383885	2.3840748899004485	1.6028328336410649	1.1167922088038515	2.6313449817854595	1.31272736246616	2.208009954577742	1.0924931438391416	1.7729536311479612	1.2005392601831033	2.0646943779141016	0.1642693611159527	2.425708088639655	1.2454277898797872	2.627767405460899	1.5570229910765048	0.7979647345076527	1.665471949613812	1.1126791682147494	2.4862651951491737
S112	2.965879705270989	1.8812701622723902	1.5262466972610313	1.0970924187410873	3.11621335401114	2.34349029800319	0.0	0.9801416158404274	2.420361852441401	1.298081867309719	1.1822897334036662	1.6461032599731316	2.5640473871777854	0.48753282993194264	2.520558911526189	2.322082218502105	2.6019120564590574	1.6892292494201577	3.2658902942291017	1.8767965309759247	3.5704682864818613	1.9307454130436323	2.1170180414427677	3.895371937946202	1.4302278598425937	2.5349577901223483	3.9988024303872844	1.6938852222195793	2.8264612125611253	2.868045755695613	2.441920119956265	2.0896364237335603	1.8607214734416446	2.6466247225424246	2.944871092139246	1.149861909801784	2.064315299327118	2.3907308814799015	2.1095559909185257	1.0873943090884945	3.4951117576233814	1.1497020840415526	2.187466398350842	0.6950790577836156	0.8283472750562689	2.721484865421526	1.5540002621707858	1.6481012148511869	0.9763656852442044	3.570966640225936	2.566998745251292	1.2535153141627873	1.6929394315217166	3.788780210459458	3.4072408019662324	1.7799139132121828	3.1982877416844513	3.097292149472712	3.360227193998932	2.726719013742456	2.262036878768074	3.2126983742551585	3.236037422238451	3.089506141301188	1.9177441814318217	2.3673238954908764	3.427385146075902	2.6153255939669733	2.2352399918020818
S119	2.1155918038488277	1.6091690524514681	0.902113520312024	0.9411449381632594	2.1763974895461047	1.4203697096532848	0.9801416158404274	0.0	2.248614063114046	1.8125738392405648	0.347719360033153	2.0348168121259564	1.6056079832853718	1.458912480412902	1.7194613642198886	2.3645237926084257	1.624596737345751	1.6183332963070904	2.3058154897348837	0.9057945695907625	2.9035989275476908	0.9541250878574354	1.372474081091324	3.2616909175480724	1.954962598611768	1.897027828284083	3.3609515892859383	1.0486049471582946	2.3695869414618804	2.609644156744198	1.6292977637227206	1.1701703934561845	1.9140682913735625	1.8617713892684329	2.4696873820066862	0.6349986258932991	1.9930016649260442	1.4306356325572995	1.8458517746351564	0.7583203975496595	2.8836749680801783	1.568001739219369	1.3012622382930306	0.4558856504729102	1.7462897386933576	1.8304640274307409	1.6279403601595583	0.7975247950860628	1.6982136939420767	2.7068054031464914	2.4012269746079933	0.8280666251112985	0.8739022627800308	3.3255075582506537	2.5375000943104498	1.8342542714297367	2.247612485151351	2.542021263241548	2.383258240319051	2.361362125508887	1.3348389691356177	2.852162459373775	2.386725998106784	2.847454414326069	1.2227515408245149	1.6288529450327942	2.6947305596308895	1.716022793993654	2.2295972363660876
S12	2.1524004324944848	0.8895861617862577	1.4854003030725604	2.9910998379489038	2.6163442195801037	2.250083506018567	2.420361852441401	2.248614063114046	0.0	1.5791251830876423	1.9964452005737208	1.4112461079873166	2.446606800963053	2.5533878931226655	1.698397601816451	0.583873006312929	2.7693469274890936	1.1893489416110758	2.8730653865252456	2.5276484446930354	1.8821276251537553	2.4651152549341715	2.9807361639768994	1.9679636966664888	1.6030963498997608	1.434798361666325	2.0611702688267446	2.9683512073143516	1.1066658573662418	0.6335028291482221	1.7912616634733183	2.525531203138575	0.6845732980107129	1.7147646349914616	0.9218215600005438	1.8920941373444995	0.5107097016424227	2.393299904309244	0.5936544857157658	2.762493882817553	1.5954866078237901	1.4852747119634222	2.1117117382507264	2.1201103531426178	2.449178970182506	2.1223364446918036	1.0006521956569234	2.1506482289425297	2.0246238869129147	2.5355824154182702	0.1936475044021962	2.678609268407355	2.741619473244752	1.5348177371403993	2.4086278453832084	0.9572973813310133	3.3058775138561693	1.2449238885178069	3.183837061429151	0.570170917913458	2.324923001987547	0.8922246136420117	2.2251888925129637	0.7136828166894011	3.274904423855313	1.5143193037348035	1.8984257642265199	3.285122240984625	0.4330823986925887
S120	3.069227642316595	1.4536412384398245	1.6742993566935591	2.2217163393079344	3.394799339547552	2.7131522547660682	1.298081867309719	1.8125738392405648	1.5791251830876423	0.0	1.780592315698035	0.6311450261001735	2.973978388673552	1.1757401466251922	2.550075833293515	1.2942042228441821	3.1571800492550346	1.2612566121507067	3.6148941529901886	2.5707359542556	3.251448211899985	2.5747414750709403	2.865085886821184	3.4580244113259497	0.308679008399229	2.3462900422070976	3.549742283900685	2.6059837600783333	2.3581299617233267	2.085856313974238	2.5286981137557363	2.677331983391201	0.93267617079495	2.6447428754872444	2.394375691222678	1.585507173069208	1.244028547501659	2.8400565554294714	1.5261131472466938	2.1057383104106746	3.055691423212187	0.3092864814142753	2.5245952986845643	1.4645310939898295	0.9316541348449942	2.90632403464297	0.7764039155121619	2.1661224042305447	0.5159444005039305	3.618685254315472	1.6954408623303792	2.1351908892016023	2.5263960835750052	3.108623011201245	3.461983652848633	0.943554298356454	3.758212133241742	2.6308420174310516	3.8242208866926473	2.0715617580722445	2.6941201773995527	2.469259592129741	3.2694629647575253	2.2325068285455147	2.932837957227961	2.3311588586057526	3.1995913177598307	3.3868347070170217	1.258994847962479
