	S100	S101	S102	S105	S106	S107	S108	S109	S110	S113	S114	S115	S116	S117	S118	S121	S122	S123	S124	S125	S126	S129	S130	S131	S132	S133	S134	S137	S138	S139	S140	S141	S142	S145	S146	S147	S148	S149	S150	S153	S154	S155	S156	S157	S158	S161	S162	S163	S164	S165	S166	S169	S170	S171	S172	S173	S174	S177	S178	S179	S180	S181	S182	S185	S186	S187	S188	S189	S190	S97	S98	S99
S100	0	2.569004924	3.4205315384150254	3.048821227329516	0.7594519405777724	2.9261980308860305	0.8466928963888115	2.9737928914272613	3.6138985158959835	3.7177659049986262	1.3760193512039882	3.4814697098084206	2.0169928974054674	2.428261499801895	2.9779952621166546	3.987804857862774	1.133783243321643	1.880566854119126	0.9216213358146754	2.7267881281660507	2.7437338108056673	1.831829779939013	1.9456219083713613	1.836442387839297	1.068511405394708	1.177656354007421	1.0755556085289153	1.5805361078993363	3.0753358099162154	0.9751651901873707	1.2364856536396605	2.178655744602263	0.9664192714336484	1.042680753696649	4.442502552691735	2.1794051014283364	2.685818771544298	1.8877707981529839	1.3225762280375055	2.941310057421799	3.4055912545575286	0.5793201338499875	2.2397031196707053	0.9312927259148375	1.0309537752305737	1.9858531686348173	2.877729002401109	1.2745875063533154	2.677850076342093	3.4411010425294286	1.021060581	1.7294394276017706	2.8435866890453347	2.7989836517007562	3.476548763151556	3.285260135307725	0.760890953	1.0640939937540042	3.883647355216199	2.0860154016497168	1.2770144616011674	2.488953464084785	2.0419945897341396	2.884731305125178	1.8704948523405338	2.209544966	2.234525784889043	3.393099892288929	0.5132717032657634	3.5580119351491684	1.0977468515568962	2.444440521813417
S101	2.569004924	0	2.5167290273691068	0.6456026183817456	2.1360768546712623	1.3192208337948748	1.9578433742267503	1.012501991514744	2.4981951800627566	1.2226446362402936	2.5717773656506764	1.7083517716438645	1.4953827953322503	1.1274748702875341	1.9637078548401032	1.4333373075093012	1.899385982819598	0.7785570966116445	3.276041297951277	1.543225415017055	2.3737140210129164	1.1733526839307782	0.9143058141222246	0.8394529137240803	1.590761616	1.4856176922972038	1.577836364918861	1.0303610519763795	1.589622767781388	3.067676854423475	1.400644104379392	1.71701948	2.338789309149148	2.0940376750537455	2.136820735	0.5607834030589681	2.102878015729434	0.8954505551294005	1.5382141287267044	0.9209542775280929	2.2127576908205624	2.3564813945704026	1.420754926663158	1.6487239280187935	1.5998540116684792	0.6631631081815488	1.833853276386158	1.3952772539585812	2.4277079490831563	2.723137168871989	1.723953268065518	1.0607558098134808	2.6747985769036924	0.7991009596099651	2.5123492351352215	1.5131429040181705	2.276322995271089	2.231163017059029	2.546027069378005	0.6284225357205855	1.676709240534525	1.1905436096944653	1.7543153468703407	0.3671053883405833	1.359717012685172	0.8652743309454853	1.8911202791429114	1.2802134558816247	2.6215758051676574	1.0176513841061186	1.6135943086966302	1.789846355
S102	3.4205315384150254	2.5167290273691068	0	2.148600632253961	2.923719695874727	3.829231536219219	2.593121458294792	1.6220602554467618	0.40397698796153525	3.092929320331087	2.325282841294667	4.092249787148893	1.6937549310745972	3.470164900491771	0.5977053627370957	2.8055850189897997	2.296031446744529	2.847774454885074	3.4963917435805394	3.899605432867566	0.8503809897454228	2.2570661943258776	2.042676074882791	2.481687702407001	2.6913951333929407	2.6602079561131373	2.5403344467983286	2.6054480982661663	1.1108485512789492	3.1311958849447716	2.4849664793882273	1.3111778286138258	2.5457389058464424	2.4529823531332373	2.240016807235531	2.752699957537742	0.7853364534786613	3.034879554235306	2.2447534455833416	3.425082480728786	0.6258300510080571	2.960544285565675	1.3597344586712312	2.9594302238122085	2.6011394852480905	2.744485148416593	0.7085642039041647	2.679903697842639	0.9163783540817951	0.29082019086214717	2.4978016277481934	2.1192894592288263	0.9268468489637616	3.3102795604813355	0.21347721655176796	1.269203896033138	2.7006100512251314	2.4116542548853026	0.6364811065892511	2.858564208837025	2.193660279239901	1.6516148380975995	1.560430392933195	2.757807364949394	1.7066130082185005	3.2102021852428693	1.3262315327089944	1.6689811306623807	3.1091913064311676	2.5359039107156787	2.6650819720306504	4.044782952297553
S105	3.048821227329516	0.6456026183817456	2.148600632253961	0	2.5549360091747237	1.8274645332945079	2.334840465024638	0.5794708	2.0689318479850916	1.060748697166449	2.785308052935737	2.050208453007994	1.5874733948624393	1.693033614675989	1.6565484231399477	0.9960686716632142	2.2026050578810996	1.393875491145194	3.658111565661434	2.0660720309721254	2.196318739317129	1.4880320872093444	1.1822412883063909	1.311989567890172	2.036733381089328	1.9433668179955095	1.993015494032564	1.528058727215258	1.2152011529645057	3.403188473363549	1.8210610708361648	1.695869965849088	2.6453590352062624	2.4057476820636547	1.5023702045442888	1.153892712613994	1.911648857738963	1.5269792348434463	1.865543805669849	1.3754069785656922	1.813924544802636	2.759773749702694	1.3819079680737023	2.165558875611775	2.0287269052191914	1.256073757658274	1.5435731797228247	1.868706124392565	2.282299684278817	2.3868976136004787	2.107660700996984	1.376476431167455	2.5041463819387335	1.297000299362758	2.1306291787461884	1.0240997455240748	2.6325598010740525	2.5187282528561066	2.047719151237786	1.255946951855018	1.9743454121364823	1.1276827571902257	1.7918186789243702	0.6792293222024088	1.4905116751720329	1.492112161836534	1.8649614944687267	0.6871774074925318	3.0211207677693244	0.5662359415893621	2.0443386325598603	2.3631569033650157
S106	0.7594519405777724	2.1360768546712623	2.923719695874727	2.5549360091747237	0	2.655631410089584	0.541933974	2.495217992045856	3.0576833910802064	3.2162882406168527	1.052102688644676	3.099762275074927	1.7101578568141043	2.0577941613893103	2.5006075772442435	3.4950815402406183	0.823326478	1.5683286359498643	1.3421901451024494	2.387169974783714	2.208340162264233	1.613961276270091	1.550863176838669	1.544179480620765	0.5546906368075251	1.0222751267818229	0.7287554671428167	1.1164510653862567	2.6369364477378907	1.2016988634247785	0.8196730592911375	1.7691825715558394	0.6597881571390953	0.528412992	3.917425816203272	1.8851941769190204	2.151460201	1.5690106284392882	1.0052786297779988	2.636580739391072	2.9694383954164505	0.3253230754368068	1.770293218307275	0.7835921059514812	0.6646509889185358	1.5664069969301637	2.376318873383991	1.1211859088306495	2.3055514716146135	2.985010466	0.7436360319171189	1.3287138615705365	2.3536117844045843	2.4507395626928563	3.0087576449425977	2.810992750236635	0.5061393763965704	0.7066377874864123	3.345577167515229	1.701080164	0.8736110194977658	2.140337579821996	1.419289512528704	2.4610969821083897	1.3892459124421803	1.8713099609621602	1.9008327573910384	2.899371061171144	0.6061500637954067	3.0746418269363796	0.522758562	2.1705808878169375
S107	2.9261980308860305	1.3192208337948748	3.829231536219219	1.8274645332945079	2.655631410089584	0	2.655799036720944	2.3090316739643595	3.794859533	1.5441078756139728	3.443001960637547	0.7790879164268176	2.6373800915032466	0.6916276711415064	3.2764748845801286	2.0671479620984905	2.743708840153281	1.2794028356791896	3.8080997614276244	0.6838327393594935	3.605538143948908	2.1242843419409887	2.022691495992051	1.6949893867693648	2.186611054891966	2.136504790246014	2.2848868425071682	1.699998470137977	2.8967742714908153	3.713175451626415	2.1379464983223575	2.9258791779534907	3.095207403718467	2.859338211922762	3.1110036003365313	1.2580616591447709	3.3579652099114226	1.143769475682962	2.4178858306712505	0.5235683988259789	3.527138147476905	2.908254103619395	2.6603996172023616	2.0875587427124818	2.2676925547214175	1.2776797129083317	3.1423589070520452	2.0347399388885083	3.675636334604656	4.034149168580021	2.464488467811567	2.0758246698133678	3.9024313247105833	0.5331949836127305	3.830791214204809	2.8012087941516945	2.9540135639973175	3.034647992	3.8410996675900524	1.1221487266222991	2.564203221986074	2.4283089387435743	2.854042072757609	1.1512033439661997	2.4880928853698805	0.8152604936658358	3.0899989692606713	2.4996533844967175	3.1586453246936035	1.8498368421703058	2.223542223169322	1.015987037467042
S108	0.8466928963888115	1.9578433742267503	2.593121458294792	2.334840465024638	0.541933974	2.655799036720944	0	2.1888469173342746	2.775703877117136	3.123228486837301	0.8855315416010638	3.174418424346658	1.2395459614909201	2.1322291006971366	2.1392998084443033	3.312941538580553	0.3233635707544366	1.431377413709757	1.331250611057688	2.5226553354407724	1.9478385269108154	1.188183958	1.2091271955870737	1.2505667719202316	0.5348597027040003	0.6673907205308967	0.3949755828903298	1.0259755980711722	2.2557943049678797	1.1163592096618598	0.5646403486955491	1.3520520408839198	0.47607327457716075	0.3827521801308251	3.6555299937031145	1.6745186598274173	1.8597813727412493	1.5148738497087384	0.546020525	2.5436022510739007	2.5781673629271964	0.5072414492296314	1.4010570366506518	0.6596883860690301	0.3915766734829828	1.4807134342741732	2.0339636285102887	0.7866954440642033	1.9058587903823132	2.6343440622542644	0.27601556043901854	0.9871895446200672	2.085315290210266	2.3867775289099886	2.650113848090243	2.4685956742266852	0.3404538874900392	0.4437878729417823	3.039313216058913	1.6168774602485942	0.43672235181626967	1.723985495546241	1.2306990587140496	2.309606645139097	1.0335809764575634	1.8570560907176712	1.4421614795039832	2.604944725106328	0.7077775215343958	2.8776634091490836	0.5507785251941494	2.3692153501029556
S109	2.9737928914272613	1.012501991514744	1.6220602554467618	0.5794708	2.495217992045856	2.3090316739643595	2.1888469173342746	0	1.5994027474852421	1.6187632788682658	2.5086079450741527	2.6043332033850666	1.2156351099026812	2.1111455267809176	1.1105037276901375	1.4078664847932671	1.9867657231679232	1.5896967324887523	3.4604281501054537	2.526582778077781	1.751769993317899	1.3249931542245474	1.0438348055739717	1.3310647169154735	2.0158493152429324	1.871540854837277	1.9006203197277767	1.612482492318961	0.6369514021521571	3.1722034092509577	1.7584785327380046	1.2575663884804806	2.4388939835796686	2.2336108026122523	1.4820013671002368	1.3659846399834201	1.4549956977589602	1.7757901782138321	1.6829768672396745	1.854061566249534	1.2476389374210526	2.647619588756634	0.9778048056707861	2.166423588485641	1.9539947315431239	1.4909581234591587	1.019323269623312	1.8179382013229208	1.7587518053022833	1.843448233270316	1.9671116452455022	1.2479614946185245	2.0390444232094165	1.778186330127063	1.5838285084060486	0.5012773878886484	2.4651326597140484	2.3000985261528784	1.580615515415986	1.5375302803163837	1.7766661586273818	0.7183645531806279	1.5204164764554864	1.1842527547924249	1.2137636604384427	1.847024187445747	1.3956900412647353	0.4209015513494616	2.8832931690345434	1.030533415	2.0210170286604514	2.7641906724634433
S110	3.6138985158959835	2.4981951800627566	0.40397698796153525	2.0689318479850916	3.0576833910802064	3.794859533	2.775703877117136	1.5994027474852421	0	2.928731723304383	2.5405285208460415	3.983011696	1.9111597972838918	3.4383019234873884	0.7890070327607184	2.6348000228921253	2.498639844853575	2.906349124888691	3.7451480511203044	3.8469844625499334	1.0164382973712769	2.425789150290081	2.1530678969146777	2.5870963354533294	2.805926953710855	2.826285429758194	2.6942646318525645	2.6711493944689946	1.1943828778610193	3.3816318780803214	2.615123480031328	1.5370719263657726	2.7453212324692893	2.6197022974602935	2.021104134045584	2.807221438	0.9464567869813311	3.076581011993057	2.425110396959565	3.393895260872238	0.8086447518336397	3.132000476184125	1.5083315178288281	3.102224872121332	2.7486066924427868	2.7686925633521553	0.8419584777880139	2.838574989573568	1.2710803514153848	0.6614292548249741	2.6772074556186958	2.2426772441983855	1.1484881980903845	3.2717444897113506	0.5266720667872375	1.245977812376845	2.893252022	2.610494947306947	0.39856139483326064	2.877376653259049	2.3709697934078493	1.7954950381034036	1.647469125827111	2.7048929985490022	1.8481432678157064	3.214235156599766	1.605628173880726	1.5765648524076135	3.304475262986638	2.405331413081598	2.7732412878741965	4.022013849
S113	3.7177659049986262	1.2226446362402936	3.092929320331087	1.060748697166449	3.2162882406168527	1.5441078756139728	3.123228486837301	1.6187632788682658	2.928731723304383	0	3.6583284471252653	1.3873069547525936	2.601120254	1.648979448038565	2.6657883422867155	0.6652071050010023	3.0676881357685413	1.9001235432294017	4.446227016174855	1.8068692267480788	3.141700753	2.3724287639574233	2.0896837183077657	2.0604707869261563	2.705815546	2.6965444109190426	2.756314846599141	2.1468837083995953	2.234541304480989	4.2318363396156355	2.5690113779430495	2.724315906979714	3.467750069830304	3.201337880182841	1.7444848710493759	1.7026668272593832	2.8791743768603366	1.9104852032089996	2.729521742912563	1.2169214532500126	2.7908412361423633	3.476747663733561	2.4009041903274295	2.807646556861543	2.7683685843552652	1.7370368293773022	2.5487297466926124	2.6074438287162742	3.3188972251239113	3.3558625261365247	2.911709585574985	2.246697971138881	3.4612591414389744	1.187574048500247	3.0885276863436544	1.9789253454545006	3.420252957663549	3.358834089598387	2.869306702942268	1.6617095999551037	2.836286554936881	2.1662214876710797	2.6695157000066008	0.9099715443508979	2.4412116329239595	1.6731321006950797	2.909607621874821	1.5472611747685854	3.7574635136918744	0.6826944925106727	2.7112532543480037	2.234036519
S114	1.3760193512039882	2.5717773656506764	2.325282841294667	2.785308052935737	1.052102688644676	3.443001960637547	0.8855315416010638	2.5086079450741527	2.5405285208460415	3.6583284471252653	0	3.881817609273638	1.5341280108855622	2.8763085151244376	2.0491984825128227	3.7706052882134578	0.7968243736030854	2.2126159777983605	1.246687357335435	3.2662424259206517	1.5521307758105924	1.8052905418477927	1.754588732646359	1.9684260924272605	1.2936759183223334	1.4974627425914517	1.2120790208511876	1.7466495329754377	2.392218924455743	0.8894898740531128	1.3253376627813513	1.3827954343199893	0.4492109626966113	0.6078692217008135	3.8882613279375295	2.4141328985563786	1.6042877929650274	2.308424467676795	1.167218060061725	3.292700025485531	2.502420994579304	0.8967889272603635	1.5565607965464108	1.5408550926565476	1.2242417114047062	2.198543033439723	1.9737750101266398	1.6114000750979363	1.581110210788357	2.3002768708635672	1.0772690269741116	1.5691473013844033	1.570917631984372	3.120079693865449	2.4220235249936577	2.645887347045603	0.6733021369822415	0.4425683457192219	2.8724378051585466	2.3535930576758397	0.9495749310965332	2.0760083821829993	1.1530250697414235	2.9340034289638806	1.3190312777188813	2.6285595709354963	1.434638336724103	2.885591843731317	0.913578889	3.3493660233342224	1.258135976091116	3.1292152548639076
S115	3.4814697098084206	1.7083517716438645	4.092249787148893	2.050208453007994	3.099762275074927	0.7790879164268176	3.174418424346658	2.6043332033850666	3.983011696	1.3873069547525936	3.881817609273638	0	3.149693216	1.0594159776579586	3.594342142686081	2.0257652122766086	3.2588192576106523	1.8656019461473534	4.351251519290228	0.8169192947164606	3.892189394	2.719260740682038	2.519129088931652	2.2783528291187474	2.6637728055654932	2.7395437439779005	2.8175324599114284	2.174693972633803	3.233428380412977	4.239776875442777	2.651322137069197	3.359834245162431	3.5704419713370914	3.308440628086616	3.1239499337077814	1.8569448495420984	3.6568968046952155	1.7136462369942749	2.9540320065525907	1.0542794938882922	3.840423902	3.3893503590618583	3.061992839541905	2.665090467088588	2.7940581173262085	1.7577620836383565	3.450657315269965	2.6497089691268068	4.076790277904473	4.329162912093104	3.0070013043384605	2.5808039882252847	4.205878647635293	1.0094756844156323	4.114049517763851	3.0733523246571735	3.4494431284924754	3.507137214251858	4.017760599	1.6323870863907648	3.0620270364929754	2.897308071002922	3.1683381870679046	1.4622357833870034	2.921205035074707	1.3583946334924117	3.5563870258310697	2.710972965828191	3.658382667188289	1.9349246736700083	2.6790280099063293	1.2517437348736207
S116	2.0169928974054674	1.4953827953322503	1.6937549310745972	1.5874733948624393	1.7101578568141043	2.6373800915032466	1.2395459614909201	1.2156351099026812	1.9111597972838918	2.601120254	1.5341280108855622	3.149693216	0	2.297123599075308	1.1396518259017079	2.549343182542076	0.9655882136913689	1.4409677135903451	2.3548309758372925	2.7579137540109335	1.4302402943731574	0.6202501394430677	0.6376599149186053	0.9800946796463947	1.3478365231393044	1.054691432181756	1.0773525780334168	1.271910599061463	1.1059140281218838	2.065980170975708	1.0500152810248546	0.4656966924047371	1.4512814566353525	1.343967738854587	2.6509020079260406	1.3910174495059933	1.2015716536754977	1.662632969587156	0.7353541092630258	2.2968974195130176	1.4658211972783488	1.7347547616279664	0.5058140828997701	1.4316529777117055	1.1569781274911732	1.4787880861516998	1.075488164648979	1.0605609302767416	1.1498313694094535	1.7574873065902912	1.032732731845907	0.6615742110413577	1.6181746873587943	2.2000173114016532	1.673007735557197	1.3722996297965637	1.4872681434185997	1.3170135914782783	2.0650606756395518	1.5870240168644745	0.8408777702300764	0.5831029173840104	1.076562647042317	1.8384192745623156	0.5244285460070754	1.9385468027236952	0.4914324526565237	1.6043273826962299	1.9003544602931746	2.1259987032366663	1.3704912585690188	2.805721151056437
S117	2.428261499801895	1.1274748702875341	3.470164900491771	1.693033614675989	2.0577941613893103	0.6916276711415064	2.1322291006971366	2.1111455267809176	3.4383019234873884	1.648979448038565	2.8763085151244376	1.0594159776579586	2.297123599075308	0	2.9359927413559554	2.1816308727900524	2.2447586807151887	0.9193101057001257	3.2925092898096007	0.46142361568095297	3.127697042642135	1.8447261666120234	1.665242364422216	1.3858361266594894	1.621179974749559	1.725939295686389	1.786500300938426	1.1705204245766958	2.6680638606007023	3.184172576433939	1.6317130731331901	2.5246550448027287	2.5372091633511284	2.286040014	3.1067105386204155	1.073217856123869	2.9101950271529335	0.7138658036139115	1.9649261037299222	0.8754369985652345	3.263969217950042	2.3382082363286902	2.2664254284187755	1.6132464552204733	1.7558857780358994	0.8200019523858404	2.7858605024244087	1.6481018295551226	3.2714729233909345	3.6685648951852325	1.9781561830343575	1.6654755729985524	3.419443440520448	0.6691630537970816	3.5038746916647283	2.609820413518887	2.4034938958192322	2.483114874204247	3.548687774327918	0.7171394555349176	2.0655713705195478	2.1963061959102053	2.316447065707219	1.1215302133705727	2.039293270419686	0.40286186322354695	2.7169584737131482	2.3676304465156224	2.603603066223034	1.8851793948957722	1.6424021046762902	0.6730070845488438
S118	2.9779952621166546	1.9637078548401032	0.5977053627370957	1.6565484231399477	2.5006075772442435	3.2764748845801286	2.1392998084443033	1.1105037276901375	0.7890070327607184	2.6657883422867155	2.0491984825128227	3.594342142686081	1.1396518259017079	2.9359927413559554	0	2.4265160053238493	1.8456493665218692	2.272847520886692	3.167503047510501	3.376758768702171	0.8414797972293883	1.672734501312708	1.460542340510217	1.8944065995590165	2.2004758332009975	2.1160167669934937	2.032163982118697	2.0668712979510597	0.6152115703991226	2.8189027076025375	1.9647952502311263	0.813432323	2.178925633691347	2.0590375020713227	2.067594935996254	2.1657819706453374	0.5912909854857293	2.4702267578079002	1.7287732735117558	2.8708245672440404	0.5013562454569652	2.555685499606981	0.8054913966446923	2.4336382402817387	2.096845069820935	2.188438818496462	0.16985596052649682	2.1238992647375765	0.7808769739884351	0.7627922652252233	2.004492275294492	1.5545669039394066	1.0471622722419105	2.7621969867506713	0.5870348681162882	0.8549953486749955	2.3004025284429623	2.0363683679629005	0.9428486428470282	2.2972300548189124	1.7156951201902135	1.0595630374368108	1.2034870759856642	2.225071080414688	1.182282991336339	2.652932591	0.8643052662895842	1.2630787560233658	2.726473763031867	2.101523981	2.184953156747721	3.5188539126691984
