sample_id	regime	block	plot	quadrat	litter_type	community	richness_bacteria	shannon_bacteria	evenness_bacteria	pco1_49_leaf_bacteria	pco2_42_leaf_bacteria	pco1_54_soil_bacteria	pco2_40_soil_bacteria
S16	L2	A	A2	2	Grass	Soil	407	5.72866901251628	0.95337778621492			-0.0687712760136924	0.00152630753839912
S198	L2	A	A2	1	Grass	Leaf	364	5.18235800933554	0.878789688323386	-0.0309780841053683	0.143845484364211		
S206	L2	A	A2	2	Grass	Leaf	470	5.64924880155698	0.918169061109953	-0.0773164171814537	0.124197411661467		
S214	L2	A	A2	3	Grass	Leaf	388	5.05263065650652	0.847613845087721	0.0790328491993023	0.309307415097823		
S222	L2	A	A2	4	Grass	Leaf	463	5.61674858807059	0.915118665032718	-0.120935699200268	0.103578436043533		
S230	L2	A	A2	1	Leaf	Leaf	120	4.60296006259845	0.961455457241925	0.0265903630865705	0.0075326020330891		
S238	L2	A	A2	2	Leaf	Leaf	384	5.30745146216771	0.891912329679369	0.169793447058895	-0.020794790297633		
S24	L2	A	A2	3	Grass	Soil	557	6.03461604298163	0.954456903801128			-0.0179182351472288	0.110523790722351
S246	L2	A	A2	3	Leaf	Leaf	457	5.46581435197733	0.892423983924387	0.123321466403525	-0.0584383206688117		
S254	L2	A	A2	4	Leaf	Leaf	533	5.89191404999303	0.93842381859449	0.0859767961298002	-0.0647085850313415		
S32	L2	A	A2	4	Grass	Soil	600	6.07641292149987	0.949895223022357			0.0751844780791202	0.126158911745304
S40	L2	A	A2	1	Leaf	Soil	591	6.09367646857668	0.95484991293332			-0.0123302723492548	0.179945351522625
S48	L2	A	A2	2	Leaf	Soil	585	6.1023243673466	0.957736364621418			0.0187167563239754	0.0758101668869554
S56	L2	A	A2	3	Leaf	Soil	456	5.73370931499931	0.936499150491299			0.246814408491322	-0.0892602483269166
S64	L2	A	A2	4	Leaf	Soil	512	5.93874618366008	0.951977740918295			0.0726133161665895	0.0513810586341737
S8	L2	A	A2	1	Grass	Soil	439	5.81726757241761	0.956079897044069			-0.0869002567358132	0.0555845777446099
S15	E2	A	A5	2	Leaf	Soil	586	6.15024610642666	0.964998824707468			-0.185481012184044	0.119358729358205
S193	E2	A	A5	2	Grass	Leaf	549	5.87629389312104	0.931547588803139	-0.0459020026756508	-0.0700974781973333		
S199	E2	A	A5	1	Leaf	Leaf	257	4.61150388884632	0.831039945802689	0.250514396093705	0.0437081041514067		
S207	E2	A	A5	2	Leaf	Leaf	416	5.49007726103817	0.910357119316873	0.160791196082261	-0.0412504203109556		
S215	E2	A	A5	3	Leaf	Leaf	365	5.46083239602001	0.925580915861888	0.132624914132695	-0.0678168788760003		
S223	E2	A	A5	4	Leaf	Leaf	524	5.84534285817265	0.933538388753204	0.141500993203633	-0.164278143647459		
S23	E2	A	A5	3	Leaf	Soil	432	5.76778474645869	0.950458181053117			-0.158797072243562	0.0400215978080806
S262	E2	A	A5	1	Grass	Leaf	404	4.95958039293067	0.826401855859626	-0.0964455883917597	0.0836240722786997		
S277	E2	A	A5	3	Grass	Leaf	416	5.42870433425437	0.900180344350981	-0.0597659388855703	0.0208265861897793		
S285	E2	A	A5	4	Grass	Leaf	425	5.39053953881927	0.890690700080561	0.0601962807670076	0.284334236478663		
S31	E2	A	A5	4	Leaf	Soil	569	6.06758955938987	0.956447654143956			-0.054864675876226	0.152075953844309
S7	E2	A	A5	1	Leaf	Soil	483	5.88544262410289	0.95233442787317			-0.183662311766468	0.120708800788528
S72	E2	A	A5	1	Grass	Soil	536	5.91668467099201	0.941527427540442			0.265448580734669	0.0259987861616639
S80	E2	A	A5	2	Grass	Soil	537	5.94552709486302	0.945836604700331			0.233837630298075	0.0940312446488014
S88	E2	A	A5	3	Grass	Soil	565	6.03578845662655	0.95249399505493			0.125231952979078	0.22053445905418
S96	E2	A	A5	4	Grass	Soil	468	5.71457845818919	0.929431231187034			0.219398763179278	-0.0549319672946553
S231	U	A	A6	1	Grass	Leaf	408	5.47709192345248	0.911137662750013	-0.0123893579506882	0.125113843241936		
S239	U	A	A6	2	Grass	Leaf	467	5.49407537814536	0.893879118384407	-0.107271791061532	0.0283225399073236		
S247	U	A	A6	3	Grass	Leaf	264	4.75682066524399	0.853096141526809	0.0431491569865034	0.25288791354085		
S255	U	A	A6	4	Grass	Leaf	481	5.63738094248079	0.912807982413821	-0.0133012857499179	0.0899327430485351		
S263	U	A	A6	1	Leaf	Leaf	501	5.57246245055961	0.896383389899378	-0.0290141147793497	-0.0544003366795879		
S270	U	A	A6	2	Leaf	Leaf	592	6.02212695823192	0.943388532773311	-0.0593542895371648	-0.0816273165791733		
S278	U	A	A6	3	Leaf	Leaf	554	5.98698023832348	0.947732176570212	-0.0683121706141948	-0.184280053209711		
S286	U	A	A6	4	Leaf	Leaf	601	6.11965443550379	0.956405976329915	-0.037671180251612	-0.0983000766928499		
S39	U	A	A6	1	Grass	Soil	479	5.86961162294212	0.951052555174902			-0.107432413736331	0.00302428319828487
S47	U	A	A6	2	Grass	Soil	493	5.58159500623375	0.900183331652841			0.0772993386103052	-0.0368543021167798
S55	U	A	A6	3	Grass	Soil	441	5.80546353873555	0.953427615904952			-0.152176303507436	0.066422420455481
S63	U	A	A6	4	Grass	Soil	652	6.21441727293497	0.959008416307448			-0.0378725495743259	0.14611003459158
S71	U	A	A6	1	Leaf	Soil	611	6.16310082089235	0.960718265073302			-0.0430713952724973	-0.0567003725111703
S79	U	A	A6	2	Leaf	Soil	386	5.68262095383624	0.954126280037572			-0.0813305701663394	-0.0428141276241492
S87	U	A	A6	3	Leaf	Soil	548	6.03286747761029	0.956645119837443			-0.0745822642219746	0.0622128494142048
S95	U	A	A6	4	Leaf	Soil	570	6.05885999608969	0.954807311917656			-0.0663442154268182	0.1168813755617
S14	L2	B	B3	2	Grass	Soil	445	5.82189493970517	0.954710400417922			-0.110751032973529	0.0352247118998103
S200	L2	B	B3	1	Grass	Leaf	441	5.16442996274796	0.848151075971331	-0.157234799790265	0.05247089867294		
S208	L2	B	B3	2	Grass	Leaf	513	5.64968684533876	0.905358510667593	-0.107577908397834	0.066873522564289		
S216	L2	B	B3	3	Grass	Leaf	391	4.6299287925581	0.775700391756076	-0.144224510649655	0.156517960426653		
S22	L2	B	B3	3	Grass	Soil	433	5.71033567303661	0.940632906392339			-0.0370533617498719	0.0807931213353494
S224	L2	B	B3	4	Grass	Leaf	540	5.85173919890221	0.930092170824179	-0.121992383496611	0.0228828540661637		
S232	L2	B	B3	1	Leaf	Leaf	362	5.17212565723529	0.877874744515928	0.136307265397214	0.0713331901720163		
S240	L2	B	B3	2	Leaf	Leaf	336	5.09995143188269	0.876715484995983	0.265986142939815	-0.0974948136592223		
S248	L2	B	B3	3	Leaf	Leaf	464	5.6338385201159	0.917580529763077	0.0814074738683485	0.0965661662981894		
S256	L2	B	B3	4	Leaf	Leaf	475	5.63798928069005	0.914765748619443	0.140057742169937	-0.125229237903758		
S30	L2	B	B3	4	Grass	Soil	390	5.61657492171387	0.941407438888913			-0.0550035452266254	0.144772158707711
S38	L2	B	B3	1	Leaf	Soil	624	6.20782277016419	0.964524197674536			-0.0915478590322474	-0.0352025681601543
S46	L2	B	B3	2	Leaf	Soil	575	6.08481804181224	0.95758005950952			0.0282183941204912	0.0174364806390288
S54	L2	B	B3	3	Leaf	Soil	588	6.08303126945959	0.953942566329295			-0.0970661072932424	-0.244283556625398
S6	L2	B	B3	1	Grass	Soil	445	5.81699123302264	0.953906260216339			-0.0605759323252833	-0.00548580797057831
S62	L2	B	B3	4	Leaf	Soil	603	6.14205552867478	0.959408773955206			0.0424149632642395	-0.0637635276847876
S13	E2	B	B5	2	Leaf	Soil	589	6.05699576543726	0.949606625684847			-0.0794168962829616	-0.258725405393963
S201	E2	B	B5	1	Leaf	Leaf	188	4.2870115724918	0.818687880611008	0.231309314413051	0.132491994185597		
S209	E2	B	B5	2	Leaf	Leaf	344	5.16071040814112	0.883586206941166	0.235170746994972	0.00672660202165558		
S21	E2	B	B5	3	Leaf	Soil	558	6.03818037640786	0.954749787658212			-0.183186212972328	-0.239998278057009
S217	E2	B	B5	3	Leaf	Leaf	310	5.00798612501803	0.872992767339248	0.237993833419016	-0.0514950218657741		
S225	E2	B	B5	4	Leaf	Leaf	447	5.64859493652043	0.925610930062378	0.119651099647264	-0.0979483026786381		
S264	E2	B	B5	1	Grass	Leaf	473	5.12036675294591	0.831350454891987	-0.158447241112945	0.028427080893742		
S271	E2	B	B5	2	Grass	Leaf	547	5.92704730504104	0.940137273026	-0.118985717484759	0.0355807309050043		
S279	E2	B	B5	3	Grass	Leaf	339	4.98034123142268	0.854847432136762	-0.118617383961377	0.0467560991856451		
S287	E2	B	B5	4	Grass	Leaf	394	4.75791613461129	0.796123957046929	-0.0221510295731971	0.0605231838145756		
