sample_id	regime	block	plot	quadrat	litter_type	community	richness_fungi	shannon_fungi	evenness_fungi	pco1_57_leaf_fungi	pco2_38_leaf_fungi	pco1_54_soil_fungi	pco2_39_soil_fungi
S1	U	C	C5	1	Leaf	Leaf	81	1.95638138068879	0.445193768736327	-0.0478793430965989	-0.135794844898061		
S10	L2	C	C2	2	Grass	Leaf	85	3.29267105075397	0.741150016207929	0.0860585459207774	0.0150200185201907		
S100	E2	B	B5	1	Leaf	Soil	211	4.49419714524839	0.839745193755609			-0.0920279723073626	0.201937785964217
S101	L2	C	C2	1	Grass	Soil	144	3.78036828595313	0.760666056866894			-0.0638777673540766	-0.0982047634983867
S102	U	C	C5	1	Leaf	Soil	129	3.04432709596725	0.626428932366808			0.222745068491584	-0.0519740000444524
S103	L2	A	A2	1	Grass	Leaf	119	3.50740197575407	0.733900678818935	-0.00374826426851649	0.0293902578177764		
S104	E2	A	A5	1	Leaf	Leaf	148	4.11021463538747	0.822501508884568	-0.130790949832117	0.188511197954644		
S105	L2	A	A2	2	Grass	Soil	175	4.61718955651035	0.893975002995686			-0.00513546055307098	-0.147506409724352
S106	E2	A	A5	2	Leaf	Soil	138	3.18955452783534	0.647329066381037			-0.0591075864296741	0.127341716636197
S107	L2	B	B3	2	Grass	Soil	205	4.45594384605767	0.83710980507666			-0.215893417118237	-0.117697773365608
S108	E2	B	B5	2	Leaf	Soil	140	3.04110826480687	0.615404354409174			-0.0264808830345446	0.125145930123961
S109	L2	C	C2	2	Grass	Soil	173	4.00715548858704	0.777591451037919			0.0518008446115354	-0.112408795572517
S11	E2	B	B5	2	Leaf	Leaf	60	3.1886706127692	0.778798795340916	-0.116767683674326	-0.129180804276505		
S110	U	C	C5	2	Leaf	Soil	119	2.87073312437556	0.600681930172622			0.220760175176387	-0.0951528623027895
S111	L2	A	A2	2	Grass	Leaf	69	3.31121883878462	0.78203484848324	-0.101091887443834	-0.0336966394741601		
S112	E2	A	A5	2	Leaf	Leaf	164	4.33760587081109	0.850533231055952	-0.0185652696905732	0.201586322527036		
S113	L2	A	A2	3	Grass	Soil	179	4.33122156951055	0.83495265854986			-0.0829144880161133	-0.245469694369972
S114	E2	A	A5	3	Leaf	Soil	111	2.71110536803402	0.575663654790568			0.0590182263275968	0.158461070692328
S115	L2	B	B3	3	Grass	Soil	220	4.58780250727548	0.850596832623			-0.231471630301543	-0.193990635748522
S116	E2	B	B5	3	Leaf	Soil	181	3.89878889451585	0.749983864772258			0.0512788836323618	0.0359858710475145
